photoghraphy_description,photoghraphy_title,photoghraphy_number,photoghraphy_address,photoghraphy_photos
"Petra Caterers is a caterer based out of Bangalore . Petra Caterers's telephone number is ,,  address is #11, 5th 'B' Cross, R A Nagar, Ejipura, Viveknagar Post, Bangalore - 560047.,Petra Caterers is mainly known for Wedding Catering, Party Catering , Marriage Catering Services.,In terms of pricing Petra Caterers  offers various packages starting at Rs ,/-.,Has been viewed 2 times and shortlisted by 0 customers over the last month.,There are 1 albums here at Weddingz -- suggest you have a look. Call weddingz.in to book Petra Caterers at guaranteed prices and with peace of mind.","
		,Petra Caterers, Bangalore,		
	",tel:76-66-77-88-99,"
						#11, 5th 'B' Cross, R A Nagar, Ejipura, Viveknagar Post, Bangalore - 560047
					","https://media.weddingz.in/images/8925ab4574d23c548e0e76b3e3ece602/petra_caterers_caterers_bangalore_20713.jpg,https://media.weddingz.in/images/f87bc614de1b39531d96d273db99b0b8/petra_caterers_caterers_bangalore_20713.jpg,https://media.weddingz.in/images/bac8885fd36507a9214749ebec26385c/petra_caterers_caterers_bangalore_20792.jpg,https://media.weddingz.in/images/42844a7cef3a8a55814918712977812a/petra_caterers_caterers_bangalore_20793.jpg,https://media.weddingz.in/images/ecd0c04d22e3ebbd70d9b33dc67ae206/petra_caterers_caterers_bangalore_20794.jpg,https://media.weddingz.in/images/a8f4f5d0adae93a90fac2d0bba405711/petra_caterers_caterers_bangalore_20795.jpg,https://media.weddingz.in/images/de5aa35fba9e3a14ba35ea0f60c74880/petra_caterers_caterers_bangalore_20796.jpg,https://media.weddingz.in/images/b88c100a6796c569bb89d3c9186e8b35/petra_caterers_caterers_bangalore_20797.jpg"
"Udaya Caterers is a caterer based out of Bangalore . Udaya Caterers's telephone number is ,,  address is Bengaluru, Karnataka, India.,Udaya Caterers is mainly known for Wedding Catering, Party Catering , Marriage Catering Services.,In terms of pricing Udaya Caterers  offers various packages starting at Rs ,/-.,Has been viewed 5 times and shortlisted by 0 customers over the last month.,There are 1 albums here at Weddingz -- suggest you have a look. Call weddingz.in to book Udaya Caterers at guaranteed prices and with peace of mind.","
		,Udaya Caterers, Bangalore,		
	",tel:76-66-77-88-99,"
						Bengaluru, Karnataka, India
					","https://media.weddingz.in/images/6a9c28910e7b3dd6ce27b73119cdba64/udaya-caterers-caterers-bangalore.jpg,https://media.weddingz.in/images/ebee38876bef4ef223a0d2bcb74180cf/udaya_caterers_caterers_bangalore_17914.jpg,https://media.weddingz.in/images/d07e4bdd9ea88faa594cb5bdf3526bd9/udaya_caterers_caterers_bangalore_17915.jpg,https://media.weddingz.in/images/14e294552ae15ecd27dafeebf2fa89b9/udaya_caterers_caterers_bangalore_17916.jpg,https://media.weddingz.in/images/ae14d677560b2ff2d0a364796395b925/udaya_caterers_caterers_bangalore_17917.jpg,https://media.weddingz.in/images/ac0f15aa87819893fa3e17f4372e6318/udaya_caterers_caterers_bangalore_17918.jpg"
"Padma Catering Services is a caterer based out of Bangalore . Padma Catering Services's telephone number is ,,  address is Near Venkat Charmalaya, TTMC Bus Stop, Vijayanagar, Bengaluru - 560040, Karnataka, India.,Padma Catering Services is mainly known for Wedding Catering, Party Catering , Marriage Catering Services.,In terms of pricing Padma Catering Services  offers various packages starting at Rs ,/-.,Has been viewed 7 times and shortlisted by 0 customers over the last month.,There are 1 albums here at Weddingz -- suggest you have a look. Call weddingz.in to book Padma Catering Services at guaranteed prices and with peace of mind.","
		,Padma Catering Services, Bangalore,		
	",tel:76-66-77-88-99,"
						Near Venkat Charmalaya, TTMC Bus Stop, Vijayanagar, Bengaluru - 560040, Karnataka, India
					","https://media.weddingz.in/images/ed89caa1ee0ac04643e778230efb404c/padma_catering_services_caterers_bangalore_20740.jpg,https://media.weddingz.in/images/555b76e402d6cffbe1565c1b087807ea/padma_catering_services_caterers_bangalore_20740.jpg,https://media.weddingz.in/images/f4d3f2e57fc422ee63f23224b8b707ff/padma_catering_services_caterers_bangalore_20741.jpg,https://media.weddingz.in/images/918bf8a79e43a5fadb40b3fafd9bce54/padma_catering_services_caterers_bangalore_20742.jpg"
"The Solitaire Hotels is a caterer based out of Bangalore . The Solitaire Hotels's telephone number is ,, The Solitaire Hotels website address is ,, Facebook page is , and address is Bengaluru, Karnataka 560001, India.,The Solitaire Hotels is mainly known for Wedding Catering, Party Catering , Marriage Catering Services.,In terms of pricing The Solitaire Hotels  offers various packages starting at Rs ,/-.,Has been viewed 3 times and shortlisted by 0 customers over the last month.,There are 1 albums here at Weddingz -- suggest you have a look. Call weddingz.in to book The Solitaire Hotels at guaranteed prices and with peace of mind.","
		,The Solitaire Hotels, Bangalore,		
	",tel:76-66-77-88-99,"
						Bengaluru, Karnataka 560001, India
					","https://media.weddingz.in/images/193a2cc931496613ecd1b8e592a7e35e/the_solitaire_hotels_caterers_bangalore_20714.jpg,https://media.weddingz.in/images/d202f21e3392cf2ab94ab1fcdc603959/the_solitaire_hotels_caterers_bangalore_20714.jpg,https://media.weddingz.in/images/ae089ed6caec1b7efdc5062dd20fb7a4/the_solitaire_hotels_caterers_bangalore_20715.jpg,https://media.weddingz.in/images/8418b9e38e8850f29df0c1c039bbd7e4/the_solitaire_hotels_caterers_bangalore_20716.jpg,https://media.weddingz.in/images/c21e502ace61ecda3703075377b7bc00/the_solitaire_hotels_caterers_bangalore_20717.jpg,https://media.weddingz.in/images/e5bd34a435466a3a7760e87121cb2ec4/the_solitaire_hotels_caterers_bangalore_20718.jpg,https://media.weddingz.in/images/5c60cdad705c3888c4bf509b5e8f82ce/the_solitaire_hotels_caterers_bangalore_20719.jpg,https://media.weddingz.in/images/da3f086ab40b869ad77374f358134a35/the_solitaire_hotels_caterers_bangalore_20720.jpg"
"Tony's Kiosk Catering Services is a caterer based out of Bangalore . Tony's Kiosk Catering Services's telephone number is ,, Tony's Kiosk Catering Services website address is ,, address is Bangalore, Karnataka- 560066, India..,Tony's Kiosk Catering Services is mainly known for Wedding Catering, Party Catering , Marriage Catering Services.,In terms of pricing Tony's Kiosk Catering Services  offers various packages starting at Rs ,/-.,Has been viewed 1 times and shortlisted by 0 customers over the last month.,There are 1 albums here at Weddingz -- suggest you have a look. Call weddingz.in to book Tony's Kiosk Catering Services at guaranteed prices and with peace of mind.","
		,Tony's Kiosk Catering Services, Bangalore,		
	",tel:76-66-77-88-99,"
						Bangalore, Karnataka- 560066, India.
					","https://media.weddingz.in/images/0685f08ff174b9244797c8f50b464898/tonys_kiosk_catering_services_caterers_bangalore_19966.jpg,https://media.weddingz.in/images/ae086ed6354b5ea73572da32a11aebbc/tonys_kiosk_catering_services_caterers_bangalore_19966.jpg,https://media.weddingz.in/images/4ee52a4505cb475f8597d727b8278b97/tonys_kiosk_catering_services_caterers_bangalore_19967.jpg,https://media.weddingz.in/images/ad4d7738f8c30f66918029b7796696b9/tonys_kiosk_catering_services_caterers_bangalore_19968.jpg,https://media.weddingz.in/images/91135c56f9d99858bb174e9ae532e1d9/tonys_kiosk_catering_services_caterers_bangalore_19971.jpg"
"Mangalya Brahmin Caterers is a caterer based out of Bangalore . Mangalya Brahmin Caterers's telephone number is ,,  address is Hosur Rd, Bengaluru, Karnataka 560068, India.,Mangalya Brahmin Caterers is mainly known for Wedding Catering, Party Catering , Marriage Catering Services.,In terms of pricing Mangalya Brahmin Caterers  offers various packages starting at Rs ,/-.,Has been viewed 5 times and shortlisted by 0 customers over the last month.,There are 1 albums here at Weddingz -- suggest you have a look. Call weddingz.in to book Mangalya Brahmin Caterers at guaranteed prices and with peace of mind.","
		,Mangalya Brahmin Caterers, Bangalore,		
	",tel:76-66-77-88-99,"
						Hosur Rd, Bengaluru, Karnataka 560068, India
					","https://media.weddingz.in/images/6a1223b9a51a74da59c6bd8a0503b662/mangalya_brahmin_caterers_caterers_bangalore_20727.jpg,https://media.weddingz.in/images/7c392651d5efb8b6ad7e86599e16553d/mangalya_brahmin_caterers_caterers_bangalore_20727.jpg,https://media.weddingz.in/images/3746bedefed9161eeeda620beb3bf652/mangalya_brahmin_caterers_caterers_bangalore_20728.jpg,https://media.weddingz.in/images/b2dd145ada7260ae39ecb5160683bcea/mangalya_brahmin_caterers_caterers_bangalore_20729.jpg"
"PurnaBramha - Caterers is a caterer based out of Bangalore . PurnaBramha - Caterers's telephone number is ,, PurnaBramha - Caterers website address is ,, Facebook page is , and address is Sector 4, HSR Layout, Bengaluru, Karnataka, India.,PurnaBramha - Caterers is mainly known for Wedding Catering, Party Catering , Marriage Catering Services.,In terms of pricing PurnaBramha - Caterers  offers various packages starting at Rs ,/-.,Has been viewed 1 times and shortlisted by 0 customers over the last month.,There are 1 albums here at Weddingz -- suggest you have a look. Call weddingz.in to book PurnaBramha - Caterers at guaranteed prices and with peace of mind.","
		,PurnaBramha - Caterers, Bangalore,		
	",tel:76-66-77-88-99,"
						Sector 4, HSR Layout, Bengaluru, Karnataka, India
					","https://media.weddingz.in/images/0ab88382c5e2c7bb2fa9efebb6ebfc4a/purnabramha_caterers_caterers_bangalore_18402.jpg,https://media.weddingz.in/images/94a0e1393108fe7f71dd2a414e576891/purnabramha_caterers_caterers_bangalore_18402.jpg,https://media.weddingz.in/images/f0269c8708192050fe1a57a81cf1e62e/purnabramha_caterers_caterers_bangalore_18403.jpg,https://media.weddingz.in/images/d5e408edf3b4d98f9996dbaec01189f0/purnabramha_caterers_caterers_bangalore_18404.jpg,https://media.weddingz.in/images/47d6f73e546a1e4ac0e10bb864e26553/purnabramha_caterers_caterers_bangalore_18405.jpg,https://media.weddingz.in/images/c32bcd447ae4950d2eb14c4d446a13a6/purnabramha_caterers_caterers_bangalore_18406.jpg,https://media.weddingz.in/images/9e80d38588b3b0b9ac393078287c05e5/purnabramha_caterers_caterers_bangalore_18407.jpg,https://media.weddingz.in/images/4f7ceb72ba0df9c7ecf404d34622bd2f/purnabramha_caterers_caterers_bangalore_18408.jpg"
"NH8 Catering Services is a caterer based out of Bangalore . NH8 Catering Services's telephone number is ,, NH8 Catering Services website address is ,, Facebook page is , and address is Bangalore, Karnataka- 560037, India..,NH8 Catering Services is mainly known for Wedding Catering, Party Catering , Marriage Catering Services.,In terms of pricing NH8 Catering Services  offers various packages starting at Rs ,/-.,Has been viewed 1 times and shortlisted by 0 customers over the last month.,There are 1 albums here at Weddingz -- suggest you have a look. Call weddingz.in to book NH8 Catering Services at guaranteed prices and with peace of mind.","
		,NH8 Catering Services, Bangalore,		
	",tel:76-66-77-88-99,"
						Bangalore, Karnataka- 560037, India.
					","https://media.weddingz.in/images/ffd1879fd757fdf51c3bd8933754a7d5/nh8_catering_services_caterers_bangalore_19015.jpg,https://media.weddingz.in/images/349b84909588f5beb60eb81ebb951719/nh8_catering_services_caterers_bangalore_19015.jpg,https://media.weddingz.in/images/39eca5874dd77779dfe6922e73918b59/nh8_catering_services_caterers_bangalore_19016.jpg,https://media.weddingz.in/images/fdd641c12ae3338c265da660050ff14d/nh8_catering_services_caterers_bangalore_19017.jpg,https://media.weddingz.in/images/49b9993faeba2717f92656b00791dc87/nh8_catering_services_caterers_bangalore_19019.jpg,https://media.weddingz.in/images/1041a2eff9da6d5042ef76956cab7832/nh8_catering_services_caterers_bangalore_19020.jpg"
"Ganesh North Rasuyi is a caterer based out of Bangalore . Ganesh North Rasuyi's telephone number is ,,  address is 89, 4th Cross Rd, Agara Village, Sector 1, HSR Layout, Bangalore, Karnataka- 560102, India..,Ganesh North Rasuyi is mainly known for Wedding Catering, Party Catering , Marriage Catering Services.,In terms of pricing Ganesh North Rasuyi  offers various packages starting at Rs ,/-.,Has been viewed 1 times and shortlisted by 0 customers over the last month.,There are 0 albums here at Weddingz -- suggest you have a look. Call weddingz.in to book Ganesh North Rasuyi at guaranteed prices and with peace of mind.","
		,Ganesh North Rasuyi, Bangalore,		
	",tel:76-66-77-88-99,"
						89, 4th Cross Rd, Agara Village, Sector 1, HSR Layout, Bangalore, Karnataka- 560102, India.
					",https://media.weddingz.in/images/61fe6b8669c94c6d5ca849a914776e8d/ganesh_north_rasuyi_caterers_bangalore_20750.jpg
"Khana Khilana is a caterer based out of Bangalore . Khana Khilana's telephone number is ,,  address is Bangalore, Karnataka, India..,Khana Khilana is mainly known for Wedding Catering, Party Catering , Marriage Catering Services.,In terms of pricing Khana Khilana  offers various packages starting at Rs ,/-.,Has been viewed 4 times and shortlisted by 0 customers over the last month.,There are 1 albums here at Weddingz -- suggest you have a look. Call weddingz.in to book Khana Khilana at guaranteed prices and with peace of mind.","
		,Khana Khilana, Bangalore,		
	",tel:76-66-77-88-99,"
						Bangalore, Karnataka, India.
					","https://media.weddingz.in/images/59d0edc3f554e050c075002732cf817d/khana_khilana_caterers_bangalore_20743.jpg,https://media.weddingz.in/images/c4b5b49381e67c2074ca834ae8f4efa9/khana_khilana_caterers_bangalore_20743.jpg,https://media.weddingz.in/images/34150e41012160bd2ee0ebfb675099e4/khana_khilana_caterers_bangalore_20761.jpg,https://media.weddingz.in/images/b589ac4b1204a1373dbb5bb6116f5db5/khana_khilana_caterers_bangalore_20762.jpg,https://media.weddingz.in/images/547de524c279f530ee11589a44c5a3cf/khana_khilana_caterers_bangalore_20763.jpg"
"Ganapathi Caterers is a caterer based out of Bangalore . Ganapathi Caterers's telephone number is ,,  address is 5, 16th Main Rd, BTM 2nd Stage, Kuvempu Nagar, Stage 2, BTM 2nd Stage, Bengaluru, Karnataka 560029, India.,Ganapathi Caterers is mainly known for Wedding Catering, Party Catering , Marriage Catering Services.,In terms of pricing Ganapathi Caterers  offers various packages starting at Rs ,/-.,Has been viewed 1 times and shortlisted by 0 customers over the last month.,There are 1 albums here at Weddingz -- suggest you have a look. Call weddingz.in to book Ganapathi Caterers at guaranteed prices and with peace of mind.","
		,Ganapathi Caterers, Bangalore,		
	",tel:76-66-77-88-99,"
						5, 16th Main Rd, BTM 2nd Stage, Kuvempu Nagar, Stage 2, BTM 2nd Stage, Bengaluru, Karnataka 560029, India
					","https://media.weddingz.in/images/0393a7c5aeff17aae63d1a9680794510/ganapathi_caterers_caterers_bangalore_20817.jpg,https://media.weddingz.in/images/07a133dd84afc8dc70e3fec142a989f7/ganapathi_caterers_caterers_bangalore_20817.jpg,https://media.weddingz.in/images/c3d53a760bd0c5982d4d5f2d2b301d0c/ganapathi_caterers_caterers_bangalore_20818.jpg,https://media.weddingz.in/images/3731dbf4cf08fa4b6ea64709a12b7f44/ganapathi_caterers_caterers_bangalore_20819.jpg,https://media.weddingz.in/images/ca78e66e59a235e503f06e49976ff63e/ganapathi_caterers_caterers_bangalore_20820.jpg"
"Casa De Bengaluru Outdoor Catering is a caterer based out of Bangalore . Casa De Bengaluru Outdoor Catering's telephone number is ,,  address is Koramangala Club Rd, Koramangala 6 Block, Koramangala, Bengaluru, Karnataka 560095, India.,Casa De Bengaluru Outdoor Catering is mainly known for Wedding Catering, Party Catering , Marriage Catering Services.,In terms of pricing Casa De Bengaluru Outdoor Catering  offers various packages starting at Rs ,/-.,Has been viewed 9 times and shortlisted by 0 customers over the last month.,There are 1 albums here at Weddingz -- suggest you have a look. Call weddingz.in to book Casa De Bengaluru Outdoor Catering at guaranteed prices and with peace of mind.","
		,Casa De Bengaluru Outdoor Catering, Bangalore,		
	",tel:76-66-77-88-99,"
						Koramangala Club Rd, Koramangala 6 Block, Koramangala, Bengaluru, Karnataka 560095, India
					","https://media.weddingz.in/images/357af604de295aef1ffc0b0cb0b13213/casa_de_bengaluru_outdoor_catering_caterers_bangalore_20812.jpg,https://media.weddingz.in/images/456a9abd3b0998ab3b9a6b80683d720c/casa_de_bengaluru_outdoor_catering_caterers_bangalore_20812.jpg,https://media.weddingz.in/images/3a47073148a8278ec9942a8b219c9f0e/casa_de_bengaluru_outdoor_catering_caterers_bangalore_20813.jpg,https://media.weddingz.in/images/e288bde3315e37750bccbdf2603e615e/casa_de_bengaluru_outdoor_catering_caterers_bangalore_20815.jpg,https://media.weddingz.in/images/02853b2099be4471303fd7ea7fc9f4ca/casa_de_bengaluru_outdoor_catering_caterers_bangalore_20816.jpg"
