status,Super_builduparea,project_name,total_unit,area,builder_overview,Builder_price,project_add_spec,builder_desciption,unit_type,possesion_date,Apartment,link,location,project_by,amenities,project_spec,project_desciption,project_overview,rera_id
Under Construction,"3,580 - 4,425 sq ft",TATA The Cascades,24,4425 sq ft(4BHK+5T   Servant Room), (34   Years of Experience ) (36   Total Projects ) (16   Ongoing Projects ) (  RERA ID ),₹ 4.30 Cr - ₹ 5.31 Cr,"{u'Fittings': {u'Kitchen:': u'Piped Gas Connection with Gas Leak Detector'}, u'Doors': {u'Internal:': u'Veneer Finish Flush Shutter', u'Main:': u'Verneer Finish Main Door'}, u'Flooring': {u'Toilets:': u'Vitrified Tiles', u'Living/Dining:': u'Wooden Flooring', u'Other Bedroom:': u'Wooden Flooring', u'Balcony:': u'Vitrified Tiles', u'Master Bedroom:': u'Wooden Flooring', u'Kitchen:': u'Vitrified Tiles'}, u'Others': {u'Switches:': u'Modular Switches', u'Wiring:': u'Concealed Copper Wiring', u'Frame Structure:': u'RCC Frame', u'Windows:': u'UPVC'}}","Established in 1984, Tata Housing is a closely held public limited real estate company. Mr. Santhanan Krishnan is the Founder and Managing Partner and Mr. Brotin Banerjee is the Managing Director and Chief Executive of the company.  Primary business of Tata Housing involves development of properties for commercial, residential and retail sector. Its operations span across other aspects of real estate development like land Identification and acquisition, project execution, project planning, marke... more",4 BHK,Possession date: Dec'20,"3, 4 BHK",https://www.proptiger.com/bangalore/banashankari/tata-housing-development-the-cascades-666263,Banashankari,TATA Housing Development, 1: Gymnasium  2: Swimming Pool  3: Children's play area  4: Club House  5: Indoor Games  6: Landscaped Gardens  7: Car Parking  8: Jogging Track ,"{u'Apartment': u'3, 4\xa0BHK', u'Super Builtup area1 sq M = 10.76 sq ft': u'3,580\xa0-\xa04,425\xa0sq ft', u'Builder price': u'\u20b9\xa04.30 Cr\xa0-\xa0\u20b9\xa05.31 Cr'}",,"{u'Status': u'Under Construction', u'Total Area': u'14\xa0Acres', 'total_unit': u'24', u'Possession Date(s)': u""Dec'20"", u'Launch Date': u""Sep'14"", u'Availability': u'New'}",
On Hold,"1,100 - 1,250 sq ft",Sagar Watermark,32,1250 sq ft(2BHK+2T + Study Room), (26   Years of Experience ) (13   Total Projects ) (1   Ongoing Projects ) (  RERA ID ),Price on request,"{u'Walls': {u'Toilets:': u'Ceramic glazed tiles dado upto 7 ft height', u'Exterior:': u'Emulsion Paint', u'Kitchen:': u'Ceramic Tiles Dado up to 2 Feet Height Above Platform', u'Interior:': u'Emulsion Paint'}, u'Fittings': {u'Toilets:': u'EWC & Wash Basin in White Colour, Single Lever CP Fittings', u'Kitchen:': u'Granite Counter Top, Stainless Steel Single Bowl Sink'}, u'Doors': {u'Main:': u'Teak Wood Doors', u'Internal:': u'Hardwood Frame with Flush Door Shutter'}, u'Flooring': {u'Toilets:': u'Ceramic Tiles', u'Living/Dining:': u'Vitrified Tiles', u'Other Bedroom:': u'Vitrified Tiles', u'Balcony:': u'Ceramic Tiles', u'Master Bedroom:': u'Vitrified Tiles', u'Kitchen:': u'Vitrified Tiles'}, u'Others': {u'Points:': u'Living', u'Wiring:': u'Fire Resistant Wires with Elegant Modular Electrical Switches', u'Frame Structure:': u'Masonry with Cement Mortar', u'Windows:': u'UPVC / Aluminium Anodized Windows with Sliding Glass Shutter'}}",,2 BHK,,2 BHK,https://www.proptiger.com/bangalore/nagarbhavi/sagar-ventures-watermark-1417974,Nagarbhavi,Sagar Ventures, 1: Lift Available  2: Closed Car Parking ,"{u'Apartment': u'2\xa0BHK', u'Super Builtup area1 sq M = 10.76 sq ft': u'1,100\xa0-\xa01,250\xa0sq ft', u'Builder price': u'Price on request'}",,"{u'Status': u'On Hold', 'total_unit': u'32', u'Availability': u'None'}",
Under Construction,"520 - 1,225 sq ft",Subha 9 Sky Vue,115,1225 sq ft(3BHK+3T), (3   Total Projects ) (2   Ongoing Projects ) (  RERA ID ),₹ 13.99 L - ₹ 32.95 L,"{u'Walls': {u'Toilets:': u'Designer Tiles Dado up to 7 Feet Height Above Platform', u'Exterior:': u'Weather Proof Paint', u'Interior:': u'Oil Bound Distemper'}, u'Fittings': {u'Toilets:': u'CP fittings of Jaguar or equivalent', u'Kitchen:': u'Granite Platform with Stainless Steel Sink'}, u'Flooring': {u'Toilets:': u'Anti Skid Tiles', u'Living/Dining:': u'Vitrified Tiles', u'Other Bedroom:': u'Vitrified Tiles', u'Balcony:': u'Anti Skid Tiles', u'Master Bedroom:': u'Vitrified Tiles', u'Kitchen:': u'Vitrified Tiles'}, u'Doors': {u'Internal:': u'Laminated Flush Door', u'Main:': u'Teak Wood Frame and Shutter'}, u'Others': {u'Switches:': u'Anchor/Roma Switches', u'Wiring:': u'Concealed Copper Wiring', u'Frame Structure:': u'RCC Frame', u'Windows:': u'Aluminium Sliding'}}",,3 BHK,Possession date: Mar'19,"1, 2, 3 BHK",https://www.proptiger.com/bangalore/anekal-city/subha-builders-9-sky-vue-780085,Anekal City,Subha Builders, 1: Gymnasium  2: Swimming Pool  3: Children's play area  4: Club House  5: Multipurpose Room  6: Rain Water Harvesting  7: Intercom  8: 24 X 7 Security  9: Jogging Track  10: Power Backup  11: Landscaped Gardens  12: Lift Available  13: Vaastu Compliant ,"{u'Apartment': u'1, 2, 3\xa0BHK', u'Super Builtup area1 sq M = 10.76 sq ft': u'520\xa0-\xa01,225\xa0sq ft', u'Builder price': u'\u20b9\xa013.99 L\xa0-\xa0\u20b9\xa032.95 L'}","The Subha Builders 9 Sky Vue is offering prosperous complex with the availability of premium apartments. The project is all set for moving in purpose in Anekal City region which is situated in Bengaluru. The necessities like bank, ATM, hospital, school, restaurant, bus station, train station, petrol pump are found in the neighbourhood and the complex offers other facilities like intercom facilities, a playground which is completely safe for the children, a security service of 24 hours, the project also provides a power system which remains on for about 24 hours. The apartments are available from builder as well as from resale procedure.","{u'Possession Date(s)': u""Mar'19"", u'Status': u'Under Construction', u'Total Area': u'1.35\xa0Acres', 'total_unit': u'115', u'Availability': u'New'}",RERA ID: PR/KN/170801/000908
Under Construction,"492 - 1,804 sq ft",Salarpuria Anugraha,693,1804 sq ft(3BHK+3T), (32   Years of Experience ) (44   Total Projects ) (18   Ongoing Projects ) (  RERA ID ),₹ 23.07 L - ₹ 84.61 L,"{u'Walls': {u'Toilets:': u'Glazed Tiles Dado', u'Exterior:': u'Weather proof paint', u'Kitchen:': u'Glazed Tiles Dado', u'Interior:': u'Plastic Emulsion Paint'}, u'Fittings': {u'Toilets:': u'Provision for Geyser', u'Kitchen:': u'Granite platform with stainless steel sink'}, u'Flooring': {u'Toilets:': u'Anti Skid Tiles', u'Living/Dining:': u'Vitrified tiles', u'Other Bedroom:': u'Vitrified tiles', u'Balcony:': u'Anti Skid Tiles', u'Master Bedroom:': u'Vitrified Tiles', u'Kitchen:': u'Vitrified Tiles'}, u'Doors': {u'Internal:': u'Wooden Frame', u'Main:': u'Teak Wood Frame'}, u'Others': {u'Switches:': u'Modular Switches', u'Wiring:': u'Concealed copper wiring', u'Frame Structure:': u'RCC framed structure', u'Windows:': u'UPVC windows'}}",,3 BHK,Possession date: Jun'21,"1, 2, 3 BHK",https://www.proptiger.com/bangalore/nagarbhavi/salarpuria-sattva-group-anugraha-780448,Nagarbhavi,Salarpuria Sattva Group, 1: Club House  2: Landscaped Gardens  3: Gymnasium  4: Swimming Pool  5: Children's play area  6: Multipurpose Room  7: Jogging Track  8: Indoor Games  9: Car Parking  10: Lift Available  11: Sports Facility  12: 24 X 7 Security  13: Aerobics Room  14: Amphitheater  15: Badminton Court  16: Basketball Court  17: Cricket Pitch  18: Gated Community  19: Party Hall  20: Skating Rink  21: Squash Court  22: Tennis Court ,"{u'Apartment': u'1, 2, 3\xa0BHK', u'Super Builtup area1 sq M = 10.76 sq ft': u'492\xa0-\xa01,804\xa0sq ft', u'Builder price': u'\u20b9\xa023.07 L\xa0-\xa0\u20b9\xa084.61 L'}","Salarpuria Anugraha Company is developing apartments in the Nagarbhavi region of Bangalore. They have availability luxurious apartments. This project has all the required amenities like security surveillance for 24 hours, beautiful landscaped garden, individual parking area for each apartment area, gym, swimming pool, rainwater harvesting, a playground for the sole benefit of the children and also for their entertainment, a community life which is always gated for protection purposes, well managed sewage system and much more. The locality is well settled with all kinds of facilities available within a mile like hospital, banking, ATM, petrol pump, and bus station, school etc. The entire project is set for moving in purpose.","{u'Status': u'Under Construction', u'Total Area': u'12\xa0Acres', 'total_unit': u'693', u'Possession Date(s)': u""Jun'21"", u'Launch Date': u""Apr'17"", u'Availability': u'New'}",
Under Construction,"600 - 1,936 sq ft",DS Splendid,96,1936 sq ft(3BHK+2T), (110   Total Projects ) (24   Ongoing Projects ) (  RERA ID ),₹ 35.56 L - ₹ 54.21 L,"{u'Walls': {u'Exterior:': u'Oil Bound Distemper', u'Interior:': u'Oil Bound Distemper'}, u'Fittings': {u'Toilets:': u'Branded CP Fittings with Hot & Cold Mixer', u'Kitchen:': u'Black Granite platform slab with stainless steel sink with drain board'}, u'Doors': {u'Main:': u'Natural Wood Frame with Double Shutter', u'Internal:': u'all internal door frames of natural wood with pre-moulded skin doors'}, u'Flooring': {u'Toilets:': u'Vitrified Tiles', u'Living/Dining:': u'Vitrified tiles', u'Other Bedroom:': u'Vitrified tiles', u'Balcony:': u'Vitrified Tiles', u'Master Bedroom:': u'Vitrified Tiles', u'Kitchen:': u'Vitrified Tiles'}, u'Others': {u'Switches:': u'Switches Anchor/equivalent', u'Wiring:': u'Anchor/equivalent modular switches and copper wires', u'Frame Structure:': u'RCC Frame', u'Windows:': u'Powder Coated Aluminium Sliding'}}","DS-MAX Properties Pvt.Ltd. is a real estate development firm based in Bangalore which was founded Dr. K. V. Satish. Today, DS-MAX is listed among the top most preferred real estate development companies in Bangalore. Having years of experience, DS-MAX has rapidly grown and is expanding its wings beyond Karnataka. Two of its upcoming residential township projects are DS-MAX Skyscape Rampura and DS-MAX Skycity in Thanisandra Few of its key under construction residential projects are:  Streak Nest ... more",3 BHK,Possession date: May'19,"1, 2, 3 BHK",https://www.proptiger.com/bangalore/nagarbhavi/ds-max-properties-splendid-670258,Nagarbhavi,DS Max Properties, 1: Gymnasium  2: Swimming Pool  3: Children's play area  4: Intercom  5: Jogging Track  6: Power Backup  7: Landscaped Gardens  8: Indoor Games  9: Maintenance Staff  10: Lift Available ,"{u'Apartment': u'1, 2, 3\xa0BHK', u'Super Builtup area1 sq M = 10.76 sq ft': u'600\xa0-\xa01,936\xa0sq ft', u'Builder price': u'\u20b9\xa035.56 L\xa0-\xa0\u20b9\xa054.21 L'}","DS Max Splendid is a housing community in Nagarbhavi, Bangalore. Presently under construction. The community has several facilities on offer like swimming pool, gymnasium, jogging track, and children’s play area and intercom services. DS Max Properties is one of Bangalore’s prolific real estate developers. They have ninety six properties to their name, forty four of which are under construction. Some of them are located in Jalahalli and JP Nagar Phase 4. Nagarbhavi is located near to thoroughfares such as 80 Feet Main Road, Magadi Road and Malagalu Main Road.","{u'Status': u'Under Construction', u'Total Area': u'0.8\xa0Acres', 'total_unit': u'96', u'Possession Date(s)': u""May'19"", u'Launch Date': u""Apr'15"", u'Availability': u'New'}",RERA ID: PR/KN/170831/001707
Under Construction,"1,130 - 1,530 sq ft",Kumari Amaranthine,99,1530 sq ft(3BHK+2T), (5   Years of Experience ) (9   Total Projects ) (1   Ongoing Projects ) (  RERA ID ),₹ 70.15 L - ₹ 93.26 L,"{u'Walls': {u'Toilets:': u'Glazed Tiles Dado up to 7 Feet Height Above Platform', u'Kitchen:': u'Glazed Tiles Dado up to 2 Feet Height Above Platform', u'Interior:': u'Emulsion Paint'}, u'Fittings': {u'Toilets:': u'Sanitary fittings', u'Kitchen:': u'Granite Platform with Stainless Steel Sink and Drain Board'}, u'Flooring': {u'Toilets:': u'Ceramic Tiles', u'Living/Dining:': u'Vitrified Tiles', u'Other Bedroom:': u'Vitrified tiles', u'Balcony:': u'Anti Skid Tiles', u'Master Bedroom:': u'Vitrified Tiles', u'Kitchen:': u'Vitrified Tiles'}, u'Doors': {u'Internal:': u'Flush Shutters', u'Main:': u'Teak Wood Frame'}, u'Others': {u'Points:': u'Other Bedroom', u'Switches:': u'Anchor/Roma Switches', u'Wiring:': u'Concealed copper wiring', u'Frame Structure:': u'Earthquake resistant RCC framed structure', u'Windows:': u'Powder Coated Aluminium Sliding'}}","Kumari Builders and Developers is a leading real estate organization which is based in Bengaluru. Kumari Builders and Developers is known for its customer-centric outlook. All property by Kumari Builders and Developers is designed to offer ample open spaces, ventilation and fresh air to residents. The company is known for offering premium amenities and facilities its customers. Aesthetics and customer satisfaction are taken seriously by the company. Unique Selling Point: The company’s attr... more",3 BHK,Possession date: Dec'18,"2, 3 BHK",https://www.proptiger.com/bangalore/bellandur/kumari-amaranthine-1319351,Bellandur,Kumari, 1: Gymnasium  2: Swimming Pool  3: Children's play area  4: Sports Facility  5: Rain Water Harvesting  6: 24 X 7 Security  7: Jogging Track  8: Indoor Games  9: Car Parking  10: Multipurpose Room  11: Landscaped Gardens  12: Badminton Court  13: CCTV  14: Library  15: Sewage Treatment Plant  16: Skating Rink  17: Spa/Sauna/Steam  18: Squash Court ,"{u'Apartment': u'2, 3\xa0BHK', u'Super Builtup area1 sq M = 10.76 sq ft': u'1,130\xa0-\xa01,530\xa0sq ft', u'Builder price': u'\u20b9\xa070.15 L\xa0-\xa0\u20b9\xa093.26 L'}","The upcoming project of Kumari Builders and Developers named as Amaranthine is being set up in Bellandur region of Bengaluru. It is transforming into a residential area which is equipped with all modern amenities and facilities. The entire project is under construction and the apartments will be available from the developer only. Amenities like shopping mall, grocery stores, medicine shops, hospital, educational institutions and ATM branches are available within a kilometre of this elite project. The in campus facilities include a gymnasium, a cafeteria, an indoor games facility and a club house.","{u'Possession Date(s)': u""Dec'18"", u'Status': u'Under Construction', u'Launch Date': u""May'16"", 'total_unit': u'99', u'Availability': u'New'}",RERA ID: PR/KN/170916/002090
Under Construction,"1,452 - 2,200 sq ft",The Address The Central Regency Address,100,2200 sq ft(3BHK+3T), (5   Total Projects ) (3   Ongoing Projects ) (  RERA ID ),₹ 86.97 L - ₹ 1.32 Cr,"{u'Walls': {u'Exterior:': u'Emulsion Paint', u'Interior:': u'Acrylic Emulsion Paint'}, u'Fittings': {u'Toilets:': u'Sanitary fittings', u'Kitchen:': u'Granite Platform with Stainless Steel Sink and Drain Board'}, u'Flooring': {u'Toilets:': u'Anti Skid Ceramic Tiles', u'Master Bedroom:': u'Laminated Wooden', u'Living/Dining:': u'Imported Marble', u'Kitchen:': u'Vitrified Tiles', u'Other Bedroom:': u'Imported Marble'}, u'Doors': {u'Main:': u'Teak Wood Frame', u'Internal:': u'Water Proof Flush Doors'}, u'Others': {u'Switches:': u'Modular Switches', u'Wiring:': u'Concealed copper wiring'}}","An OverviewThe Address Makers is a real estate development company managed by real estate giant, Piramal Fund Management. The group has an active presence in Pune, Bangalore, Hyderabad, NCR, Mumbai and Chennai. The portfolio of the company includes residential real estate. Unique Selling PointThe company focuses on timely delivery of projects and customer satisfaction. Landmark ProjectsThe Central Regency Address is a residential project located at Bellandur in Bangalore. The project has 100 apa... more",3 BHK,Possession date: Aug'20,"2, 3 BHK",https://www.proptiger.com/bangalore/bellandur/the-address-maker-the-central-regency-address-673132,Bellandur,The Address Maker, 1: Gymnasium  2: Swimming Pool  3: Club House  4: Multipurpose Room  5: Jogging Track  6: Power Backup  7: Car Parking  8: 24 X 7 Security  9: Ramps for Handicap friendliness ,"{u'Apartment': u'2, 3\xa0BHK', u'Super Builtup area1 sq M = 10.76 sq ft': u'1,452\xa0-\xa02,200\xa0sq ft', u'Builder price': u'\u20b9\xa086.97 L\xa0-\xa0\u20b9\xa01.32 Cr'}","Situated in Bellandur, Bangalore, The Central Regency Address is a gated community. The project is in its prelaunch phase and the units can be availed through the developer. They are of varying configurations and sizes. The Address Maker is a renowned property developer of Bangalore. They have numerous projects to their name, some of which are under construction. Most of their projects are located towards the west of the city. Bellandur is a part of southeast Bangalore. The area is well-linked to neighbourhoods such as Whitefield and ITPL via the Outer Ring Road. The KR Puram Railway Station is the nearest to the neighbourhood.","{u'Status': u'Under Construction', u'Total Area': u'1.65\xa0Acres', 'total_unit': u'100', u'Possession Date(s)': u""Aug'20"", u'Launch Date': u""Nov'17"", u'Availability': u'New'}",RERA ID: PR/KN/170731/000123
On Hold,"2,750 - 3,850 sq ft",Nitesh Palo Alto,251,3850 sq ft(4BHK+4T + Study Room), (14   Years of Experience ) (29   Total Projects ) (11   Ongoing Projects ) (  RERA ID ),₹ 1.79 Cr - ₹ 2.50 Cr,"{u'Walls': {u'Toilets:': u'Ceramic Tiles Dado', u'Exterior:': u'Texture Paint', u'Kitchen:': u'Ceramic Tiles Dado', u'Interior:': u'Emulsion Paint'}, u'Fittings': {u'Toilets:': u'Provision for Wash Basin', u'Kitchen:': u'Double Bowl Stainless Steel Sink'}, u'Flooring': {u'Toilets:': u'Anti Skid Tiles', u'Living/Dining:': u'Vitrified Tiles', u'Other Bedroom:': u'Vitrified Tiles', u'Balcony:': u'Anti Skid Tiles', u'Master Bedroom:': u'Vitrified Tiles', u'Kitchen:': u'Vitrified Tiles'}, u'Doors': {u'Internal:': u'Teak Wood Frame and Shutter', u'Main:': u'Teak Wood Frame and Shutter'}, u'Others': {u'Windows:': u'Aluminium Sliding'}}","Established in 2004, Nitesh is a leading real estate developer headquartered in Bangalore. Having 8 years of experience in the industry, the company is engaged in constructing high end luxury homes. Mr. Nitesh Shetty is the founder and Managing Director of the company.Nitesh is having strong presence in cities like Chennai, Goa and Cochin. The prime business of the company involves in constructing residential spaces, office buildings, shopping malls and hotels. In the residential segment, the fi... more",4 BHK,Possession date: Apr'18,"3, 4 BHK",https://www.proptiger.com/bangalore/bellandur/nitesh-estates-palo-alto-640577,Bellandur,Nitesh Estates, 1: Gymnasium  2: Swimming Pool  3: Children's play area  4: Club House  5: Cafeteria  6: Multipurpose Room  7: Indoor Games  8: Jogging Track  9: 24 X 7 Security  10: Power Backup ,"{u'Apartment': u'3, 4\xa0BHK', u'Super Builtup area1 sq M = 10.76 sq ft': u'2,750\xa0-\xa03,850\xa0sq ft', u'Builder price': u'\u20b9\xa01.79 Cr\xa0-\xa0\u20b9\xa02.50 Cr'}","It is only fitting that the High Tech Capital of India, Bangalore offers the highest standards of Quality and Global Lifestyle Living. Nitesh Palo Alto, situated on the IT Corridor of Marathahalli Sarjapur Ring Road is an environment of scenic beauty. These Premium villaments with exquisite space planning, well thought through interiors and large expanse of landscaped gardens coupled with close proximity to Shopping Centers, Schools and Health Care facilities make it one of the most sought after places to live in Bangalore. At Nitesh Palo Alto, Wi-fi connectivity and a high technology automation System await you to bring in the true Silicon Valley life. Swim and Relax in the secluded garden like setting designed by one of the worldâ€™s best landscape designers.","{u'Possession Date(s)': u""Apr'18"", u'Status': u'On Hold', 'total_unit': u'251', u'Availability': u'None'}",
Under Construction,"1,591 - 2,015 sq ft",Sterling Ascentia,168,2015 sq ft(3BHK+3T + Servant Room), (35   Years of Experience ) (26   Total Projects ) (4   Ongoing Projects ) (  RERA ID ),₹ 98.64 L - ₹ 1.25 Cr,"{u'Walls': {u'Toilets:': u'Ceramic Tiles Dado up to Lintel Level', u'Exterior:': u'Texture Paint', u'Kitchen:': u'Ceramic Tiles Dado up to 2 Feet Height Above Platform', u'Interior:': u'Semi Acrylic Paint'}, u'Fittings': {u'Toilets:': u'Provision for Wash Basin'}, u'Flooring': {u'Toilets:': u'Anti Skid Vitrified Tiles', u'Living/Dining:': u'Vitrified tiles', u'Other Bedroom:': u'Timber Laminate Flooring', u'Kitchen:': u'Anti Skid Vitrified Tiles', u'Master Bedroom:': u'Timber Laminate Flooring', u'Balcony:': u'Anti Skid Vitrified Tiles'}, u'Doors': {u'Main:': u'Pre-Moulded Shutter and Frame in Wood', u'Internal:': u'Wooden Frames and Flush Shutters'}, u'Others': {u'Points:': u'Master Bedroom', u'Wiring:': u'Concealed Copper Wiring', u'Lobby:': u'Green Marble', u'Frame Structure:': u'RCC Frame', u'Switches:': u'Modular Switches', u'Windows:': u'UPVC'}}","Established in 1983, Sterling is one of the renowned real estate developers of Bangalore. Mr. Ramani Sastri is the Chairman and Managing Director of the company.The firm is engaged in constructing premium apartments, villas, luxury flats and commercial complexes. Having strong presence in Bangalore, Sterling has also expanded its operations to Pune, Maharashtra.  Top Projects:  Sterling North in Uttarahalli, Bangalore comprising 6 units of 4 BHK apartments. Sterling Heights in Malleswaram, Banga... more",3 BHK,Possession date: Jun'19,3 BHK,https://www.proptiger.com/bangalore/bellandur/sterling-ascentia-647701,Bellandur,Sterling, 1: Gymnasium  2: Swimming Pool  3: Children's play area  4: Club House  5: Multipurpose Room  6: Rain Water Harvesting  7: Jogging Track  8: Landscaped Gardens  9: 24 X 7 Security  10: Car Parking  11: Indoor Games  12: Lift Available  13: Sports Facility ,"{u'Apartment': u'3\xa0BHK', u'Super Builtup area1 sq M = 10.76 sq ft': u'1,591\xa0-\xa02,015\xa0sq ft', u'Builder price': u'\u20b9\xa098.64 L\xa0-\xa0\u20b9\xa01.25 Cr'}","Sterling Developers brings to you yet another grand project, Ascentia, in Bellandur, Bangalore. Sprawling across 6 acres of land area. The apartments offer amenities like tennis court, pool deck, rainwater harvesting facility, library, jogging track, swimming pool, club house, gymnasium and many more. Bellandur enjoys smooth and fast connectivity to all prime areas of the city. The locality hosts the presence of various educational institutions and hospitals. Located in close proximity to everyday services like office complexes, supermarkets, restaurants, bus stations, petrol pumps, banks, train stations, shopping malls and ATMs.","{u'Status': u'Under Construction', u'Total Area': u'6\xa0Acres', 'total_unit': u'168', u'Possession Date(s)': u""Jun'19"", u'Launch Date': u""Jan'14"", u'Availability': u'New'}",RERA ID: PR/KN/170731/000563
Under Construction,"2,095 - 3,232 sq ft",Vajram Esteva,106,3232 sq ft(4BHK+4T   Servant Room), (9   Years of Experience ) (6   Total Projects ) (2   Ongoing Projects ) (  RERA ID ),₹ 1.20 Cr - ₹ 1.86 Cr,"{u'Walls': {u'Toilets:': u'Ceramic Tiles Dado', u'Kitchen:': u'Ceramic Tiles Dado up to 2 Feet Height Above Platform', u'Interior:': u'Plastic Emulsion Paint'}, u'Fittings': {u'Toilets:': u'Branded CP Fittings and Sanitary Ware', u'Kitchen:': u'Granite Platform with Stainless Steel Sink and Drain Board'}, u'Flooring': {u'Toilets:': u'Anti Skid Tiles', u'Kitchen:': u'Vitrified Tiles', u'Living/Dining:': u'Vitrified Tiles', u'Master Bedroom:': u'Laminated Wooden Flooring', u'Other Bedroom:': u'Vitrified Tiles'}, u'Doors': {u'Main:': u'Wooden Frame', u'Internal:': u'Seasoned Hardwood Frame '}, u'Others': {u'Switches:': u'Modular Switches', u'Frame Structure:': u'RCC Framed Structure with Concrete Block Masonry Walls', u'Windows:': u'UPVC'}}","Vajram Group An Overview Forayed in the development of residential and commercial properties in 2009, Vajram Group is a symbol of high-quality construction and on-time delivery. Founded by Pavan Vajram, the group develops properties in Bengaluru and other parts of South India. The company is renowned across the real estate industry of Bengaluru for its innovative design and contemporary architecture. Unique Selling Point All the activities of the Vajram Group are governed by its core values - qu... more",4 BHK,Possession date: Nov'19,"3, 4 BHK",https://www.proptiger.com/bangalore/bellandur/vajram-esteva-675781,Bellandur,Vajram, 1: Swimming Pool  2: Club House  3: Landscaped Gardens  4: Car Parking  5: Gymnasium  6: Children's play area  7: Intercom  8: 24 X 7 Security  9: Power Backup  10: Indoor Games  11: Jogging Track  12: Lift Available ,"{u'Apartment': u'3, 4\xa0BHK', u'Super Builtup area1 sq M = 10.76 sq ft': u'2,095\xa0-\xa03,232\xa0sq ft', u'Builder price': u'\u20b9\xa01.20 Cr\xa0-\xa0\u20b9\xa01.86 Cr'}","Vajram Esteva, located in Bellandur, Bangalore, offers apartments. It provides amenities such as swimming pool, club house, landscaped gardens and car parking.This suburb of Bangalore has, in recent years, emerged to be a self-sufficient township owing to the IT/ITES boom and close proximity to key places such as HAL Airport, Whitefield, Electronic City and Sarjapur. The network of roads and public transportation is quite well-developed. Located approximately at a distance of 20 kilometres from Bangalore city, Bellandur has BMTC buses operating within it. Vajram Group, with its experience of 6 years, has 8 projects in total.","{u'Status': u'Under Construction', u'Total Area': u'2.5\xa0Acres', 'total_unit': u'106', u'Possession Date(s)': u""Nov'19"", u'Launch Date': u""Nov'15"", u'Availability': u'New'}",RERA ID: PR/KN/170729/000254
Under Construction,"1,341 - 2,917 sq ft",Adarsh Palm Retreat Lake Front,540,2917 sq ft(4BHK+4T   Servant Room), (30   Years of Experience ) (27   Total Projects ) (4   Ongoing Projects ) (  RERA ID ),₹ 83.14 L - ₹ 1.81 Cr,"{u'Walls': {u'Toilets:': u'Ceramic Tiles Dado up to 7 Feet Height Above Platform', u'Kitchen:': u'Ceramic Tiles Dado up to 2 Feet Height Above Platform'}, u'Fittings': {u'Toilets:': u'EWCs and Chrome Plated Fittings', u'Kitchen:': u'Provision for Water Purifier'}, u'Flooring': {u'Toilets:': u'Ceramic Tiles', u'Living/Dining:': u'Vitrified Tiles', u'Other Bedroom:': u'Wooden Flooring', u'Balcony:': u'Ceramic Tiles', u'Master Bedroom:': u'Wooden Flooring', u'Kitchen:': u'Vitrified Tiles'}, u'Doors': {u'Internal:': u'Flush Shutters', u'Main:': u'Teak Wood Frame'}, u'Others': {u'Switches:': u'Modular Switches', u'Wiring:': u'Concealed Copper Wiring', u'Frame Structure:': u'RCC Frame', u'Windows:': u'UPVC'}}","Established in 1988, Adarsh Developers is an ISO 9001-2000 certified real estate development company. Mr. Jayeshankar is the Chairman of the company. Adarsh Developers is a Bangalore based developer and its construction portfolio covers residential and commercial properties, spreading over 5 million sq. ft. of land. Top Projects:  Palm Meadows in Whitefield, Bangalore comprising 570 units of 3 BHK villas with sizes ranging from 2,817 sq. ft. to 3,645 sq. ft. Palm Retreat Tower 1 in Bellandur, Ba... more",4 BHK,Possession date: Dec'18,"2, 3, 4 BHK",https://www.proptiger.com/bangalore/bellandur/adarsh-developers-palm-retreat-lake-front-667969,Bellandur,Adarsh Developers, 1: Gymnasium  2: Swimming Pool  3: Children's play area  4: Club House  5: Rain Water Harvesting  6: 24 X 7 Security  7: Power Backup  8: Landscaped Gardens  9: Car Parking  10: Lift Available  11: Jogging Track ,"{u'Apartment': u'2, 3, 4\xa0BHK', u'Super Builtup area1 sq M = 10.76 sq ft': u'1,341\xa0-\xa02,917\xa0sq ft', u'Builder price': u'\u20b9\xa083.14 L\xa0-\xa0\u20b9\xa01.81 Cr'}","Located in Bellandur, Bangalore, Palm Retreat Lake Front is a premium housing project launched by Adarsh. The project offers Apartment in 2, 3, 4 BHK configurations available from 1341 sqft to 2917 sqft. These units in Outer Ring Road, are available at an attractive price points starting at @Rs 6,200 per sqft and will be available to buyers at a starting price of Rs 83.14 lacs. The project is Under Construction project and possession in Dec 18. Palm Retreat Lake Front has many amenities, such as Power Backup, CCTV Surveillance, Skating Rink, Fire Fighting Arrangements, Badminton Courts etc.","{u'Status': u'Under Construction', u'Total Area': u'7\xa0Acres', 'total_unit': u'540', u'Possession Date(s)': u""Dec'18"", u'Launch Date': u""Mar'15"", u'Availability': u'New'}",
