status,possession,name,price_per_sqft,unit_type,about_project,Project_specifications,link,pro_detail,about_builder,project_price,proj_plan,price_range,data,project_overview
Ready To Move,,Nava Nakshatra Enclave,,Residential  Land,"
                    Nava Nakshatra Enclave is one of the popular residential projects in  Doddaballapur, Bangalore. Developed by Nava Nakshatra Homes, this project offers plots with basic amenities for the comfort of residents. It is close to market, hospital and many educational institutions.,  ,
,
     
                    ,
            ,Configurations:,
            ,Land            ,
        ,
            ,
, ,
     
                ",,https://www.99acres.com/nava-nakshatra-enclave-doddaballapur-bangalore-north-npxid-r109335?src=NPSRP&sid=UiB8IFFTIHwgUyB8IzI3IyAgfCBOUFNFQVJDSCB8IDcyMDUyNTUyMjAyNDU1MjIgfCM0IyAgfCAyMSM1IyB8IDI1NyB8IDIzICM0MCN8ICA=,,,{},,Price Not Available,"
                        ,
,
,
    , 
    ,   Loading Amenities... 
    ,
,                        ",{}
Ready To Move,,Alisha Defence Paradise,,"2,3 BHK Apartment","
                    ?Defence Paradise? a residential apartment project, inside Duo Marvel BDA Layout, close to Ramanashree California Resort, behind Prestige Monte Carlo and NCC Urban, Yelahanka, North Bangalore, in association with SLV Constructions and Developers, a leading developers having 15 years of experience in real estate construction industry and having many project at his credit.,
,
Project Details,
No. of Blocks: 1,
No. of Floors: 5,  ,
,
     
                ,
            ,Project Details:,
            ,1 Towers 5 Floors,
        ,  
                ,
            ,Configurations:,
            ,Apartment | 2, 3 BHK            ,
        ,
            ,
, ,
     
                ",,https://www.99acres.com/alisha-defence-paradise-yelahanka-bangalore-north-npxid-r30764?src=NPSRP&sid=UiB8IFFTIHwgUyB8IzI3IyAgfCBOUFNFQVJDSCB8IDcyMDUyNTUyMjAyNDU1MjIgfCM0IyAgfCAyMSM1IyB8IDI1NyB8IDIzICM0MCN8ICA=,,"Alisha Projects Private Limited is an organization with a difference, created to provide specialized real estate development services to retired defense personnel and the entire community of the same. Alisha Projects and Builders consider it their responsibility to provide the defense community with economical and high quality projects amongst others.  In addition to residential land development and commercial construction, the company is also engaged in providing services such as project management, real estate marketing and real estate,Alisha Projects Private Limited is an organization with a difference, created to provide specialized real estate development services to retired defense personnel and the entire community of the same. Alisha Projects and Builders consider it their responsibility to provide the defense community with economical and high quality projects amongst others.  In addition to residential land development and commercial construction, the company is also engaged in providing services such as project management, real estate marketing and real estate valuation. In fact, the company envisions itself to be a leading real estate marketing organization in India and overseas. It intends to achieve this position through consistent excellence in quality and total customer satisfaction. Based out of the IT city Bangalore, the real estate company is working towards achieving greater heights in residential and commercial construction.",{},,Price Not Available,"
                        ,
,
,
    , 
    ,   Loading Amenities... 
    ,
,                        ","{u'No. of Towers:': u'1 Towers', u'No. of Floors:': u'5 Floors'}"
Ready To Move,,Tekton Phoenix,,Residential  Land,"
                    Tekton Phoenix is a residential land project developed by Tekton Estate. The project offers various odd dimensional plots at very affordable prices. The project is well connected by various modes of transportation. The site is in close proximity to various civic utilities,
,
Project Details,
Total Units: 79,
Total Area: 4 Acres,
,
Features,
> Next to Touche golf Course ,
> Adjacent to Prakruthi Layout ,
> Next to proposed Peripheral Ring Road Reputed Colleges are around ,
> Drainage lines ,
> Black top Roads ,
> Street lights ,
> Sanitary lines,  ,
,
            ,
            ,Total Project Area:,
            ,4.00 Acres,
        ,  
     
                ,
            ,Project Details:,
            ,79 Units ,
        ,  
                ,
            ,Configurations:,
            ,Land            ,
        ,
            ,
, ,
     
                ",,https://www.99acres.com/tekton-phoenix-yelahanka-bangalore-north-npxid-r95272?src=NPSRP&sid=UiB8IFFTIHwgUyB8IzI3IyAgfCBOUFNFQVJDSCB8IDcyMDUyNTUyMjAyNDU1MjIgfCM0IyAgfCAyMSM1IyB8IDI1NyB8IDIzICM0MCN8ICA=,,"With yet another focus as living solutions to relieve pressures of fast life of the city, will shortly come up array of residential layouts and commercial complexes in the widest cost range under the name of ""Tekton Estates Pvt. Ltd"". Residential layout comprising of apartments, individual villas, row houses, SEZ's etc., which has the natures touch with all qualities like affordability, accessibility, authenticity that would suffice anyone's desire to possess it as their own sweet homes forever. Commercial complexes with latest facilities,With yet another focus as living solutions to relieve pressures of fast life of the city, will shortly come up array of residential layouts and commercial complexes in the widest cost range under the name of ""Tekton Estates Pvt. Ltd"". Residential layout comprising of apartments, individual villas, row houses, SEZ's etc., which has the natures touch with all qualities like affordability, accessibility, authenticity that would suffice anyone's desire to possess it as their own sweet homes forever. Commercial complexes with latest facilities structured as IT Parks, Shopping Malls that stands apart from the rest, in style and finish, which is very strategically located is inevitably proposed to be in the sequence of our upcoming projects plans.",{},,Price Not Available,"
                        ,
,
,
    , 
    ,   Loading Amenities... 
    ,
,                        ","{u'No. of Units:': u'79 Units', u'Total Project Area:': u'4.00 Acres'}"
Ready To Move,Completed : Aug 2008,Kiran Viva Espana 1,,2 BHK Apartment,"
                    Kiran Viva Espana is a popular residential project developed by Kiran and Kashi Constructions that is located in Bangalore. The project offers 2BHK and 3BHK apartments with modern amenities for the comfort of residents.,
,
Project Details,
Number of Units: 20,
Number of Floors: 4,
,
Features,
Asphalted roads,
Electrification,
Boating area with 24 hours security,  ,
,
     
                ,
            ,Project Details:,
            ,20 Units 4 Floors,
        ,  
                ,
            ,Configurations:,
            ,Apartment | 2 BHK            ,
        ,
            ,
, ,
     
                ","
                    ,
                    DOORS,
Internal: flush shutters,
Main: teak frame with BST paneled flush shutter and gum sal wood frames,
,
FITTINGS,
Electrical: concealed electrical fire retardant wire with good quality switches, one earth leakage circuit breaker (ELCB),
Kitchen: stainless steel sink and 30mm granite platform for cooking slab,
Toilets: good quality sanitary from jaguar, hindustan, parry ware or equivalent and GI concealed piping for water supply,
,
FLOORING,
Kitchen: vitrified tiles,
Living/dining: vitrified tiles,
Master bedroom: vitrified tiles,
Other bedroom: vitrified tiles,
Toilets: anti skid ceramic tiles,
,
WALLS,
Exterior: quality cement paint,
Interior: plastic emulsion paint,
Toilets: dado with glazed tiles up to 7ft height,
,
WINDOWS,
Glazed aluminum powder coated sliding with ms guard bars    
                    ,
                ",https://www.99acres.com/kiran-viva-espana-1-doddaballapur-bangalore-north-npxid-r109259?src=NPSRP&sid=UiB8IFFTIHwgUyB8IzI3IyAgfCBOUFNFQVJDSCB8IDcyMDUyNTUyMjAyNDU1MjIgfCM0IyAgfCAyMSM1IyB8IDI1NyB8IDIzICM0MCN8ICA=,,,{},,Price Not Available,"
                        ,
,
,
    , 
    ,   Loading Amenities... 
    ,
,                        ","{u'No. of Units:': u'20 Units', u'No. of Floors:': u'4 Floors'}"
Ready To Move,Completed : Jan 2017,Poorvi Airavatha,,"2,3 BHK Apartment","
                    Poorvi Airavatha is one of the popular residential projects that is located in Judicial Layout, Bangalore, developed by Poorvi Housing Development Company. This project offers 2BHK and 3BHK apartments. It is situated close to the market, hospital and various educational institutions.,
,
Project Details,
No of Units: 40,  ,
,
     
                ,
            ,Project Details:,
            ,40 Units ,
        ,  
                ,
            ,Configurations:,
            ,Apartment | 2, 3 BHK            ,
        ,
            ,
, ,
     
                ",,https://www.99acres.com/poorvi-airavatha-judicial-layout-bangalore-north-npxid-r214797?src=NPSRP&sid=UiB8IFFTIHwgUyB8IzI3IyAgfCBOUFNFQVJDSCB8IDcyMDUyNTUyMjAyNDU1MjIgfCM0IyAgfCAyMSM1IyB8IDI1NyB8IDIzICM0MCN8ICA=,,,{},,Price Not Available,"
                        ,
,
,
    , 
    ,   Loading Amenities... 
    ,
,                        ",{u'No. of Units:': u'40 Units'}
Ready To Move,,City Square Ameniti,,Residential  Land,"
                    City Square Ameniti is one of the popular residential projects that is located in Doddaballapur, Bangalore. Developed by City Square, this project offers plots with basic amenities for the comfort of residents. It is close to many educational institutions and hospitals.,  ,
,
     
                    ,
            ,Configurations:,
            ,Land            ,
        ,
            ,
, ,
     
                ",,https://www.99acres.com/city-square-ameniti-doddaballapur-bangalore-north-npxid-r118211?src=NPSRP&sid=UiB8IFFTIHwgUyB8IzI3IyAgfCBOUFNFQVJDSCB8IDcyMDUyNTUyMjAyNDU1MjIgfCM0IyAgfCAyMSM1IyB8IDI1NyB8IDIzICM0MCN8ICA=,,,{},,Price Not Available,"
                        ,
,
,
    , 
    ,   Loading Amenities... 
    ,
,                        ",{}
Ready To Move,,Adithya Homes,,,"
                    Adithya Homes is a residential project by Adithyasri Infrastructures that is located in Yelahanka, Bangalore. It offers 2BHK and 3BHK apartments with all the basic amenities like 24 hours backup, gymnasium and security to facilitate the life of residents.,  ,
,
     
                    ,
, ,
     
                ",,https://www.99acres.com/adithya-homes-yelahanka-bangalore-north-npxid-r80660?src=NPSRP&sid=UiB8IFFTIHwgUyB8IzI3IyAgfCBOUFNFQVJDSCB8IDcyMDUyNTUyMjAyNDU1MjIgfCM0IyAgfCAyMSM1IyB8IDI1NyB8IDIzICM0MCN8ICA=,,,{},,Price Not Available,"
                        ,
,
,
    , 
    ,   Loading Amenities... 
    ,
,                        ",{}
Ready To Move,,Sri Hari GNR Enclave,,Residential  Land,"
                    Sri Hari GNR Enclave is a popular residential project developed by Sri Hari Realty that is located in Yelahanka, Bangalore. The project offers plots with basic amenities for the comfort of residents. Additionally, it is in proximity to various educational institutions and hospitals.,  ,
,
     
                    ,
            ,Configurations:,
            ,Land            ,
        ,
            ,
, ,
     
                ",,https://www.99acres.com/sri-hari-gnr-enclave-yelahanka-bangalore-north-npxid-r122585?src=NPSRP&sid=UiB8IFFTIHwgUyB8IzI3IyAgfCBOUFNFQVJDSCB8IDcyMDUyNTUyMjAyNDU1MjIgfCM0IyAgfCAyMSM1IyB8IDI1NyB8IDIzICM0MCN8ICA=,,,{},,Price Not Available,"
                        ,
,
,
    , 
    ,   Loading Amenities... 
    ,
,                        ",{}
Ready To Move,,Prodaacon Rose Garden,,,"
                    Prodaacon Rose Garden is one of the development by Prodaacon Promoters. The residential development is located in Bangalore. The project offers 2BHK flats at very competitive prices. It is well planned and is built with all modern amenities. Strategically based in the prime location of Yelahanka, Bangalore, Prodaacon Rose Garden keeps up with the expectations of a luxury seeking property buyers.,
,
Prodaacon Rose Garden Floor Plan,
Type ?  2 BHK Residential Apartments,
Floor Plan ? 1100 sq. ft. ,
Scroll down the page to see pictorial visualization of the layout.,
,
Amenities at Prodaacon Rose Garden,
Prodaacon Rose Garden brings in a number of globally accepted amenities together for the occupants. Some of those premium facilities are clubhouse, multipurpose hall, swimming pool, paved compound, rainwater harvesting plant, sewage treatment plant, and reserved car parking, etc.,
,
About Locality,
Yelahanka, a fast developing locality of North Bangalore, is the one locality of Bangalore that benefits immensely from the location advantage. Being extremely well connected with rest of the city along with the prime commercial and IT hubs, Yelahanka sees a constant demand from Bangalore?s property seekers. Here is a synopsis of the advantages Yelahanka has over its nearby localities.,
2.7 km from Bus Stop,
4.3 km from Yelahanka Railway Junction,
2.6 km from Seshadripuram Public School,
2.3 km from Neha Prakash Hospital,
2.9 km from Food World,
4.0 km from State Bank of India,
4.6 km from Durga Temple,
2.9 km from Heritage Fresh,
4.4 km from Medplus,
3.2 km from Ganesh Theatre,
5.1 km from 9th Mile Dhaba,
4.0 km from Forest Reseach Station,
3.6 km from IOC Petrol Pump,
2.1 km from Sparsh the Wellness Clinique,
6.9 km from 1 Karnataka Air Squadron NCC,
,
About City,
Backed by a robust demand by top management IT professionals and expats, Bangalore continues to maintain the luxury tag in India?s property market. The developed infrastructure and a high scope of niche employment opportunities makes Bangalore a real estate giant. The city that was once the Mecca of IT professionals and start up generation is today known as the realty hub of investors looking for both residential and commercial market.,  ,
,
     
                    ,
, ,
     
                ",,https://www.99acres.com/prodaacon-rose-garden-yelahanka-bangalore-north-npxid-r81492?src=NPSRP&sid=UiB8IFFTIHwgUyB8IzI3IyAgfCBOUFNFQVJDSCB8IDcyMDUyNTUyMjAyNDU1MjIgfCM0IyAgfCAyMSM1IyB8IDI1NyB8IDIzICM0MCN8ICA=,,,{},,Price Not Available,"
                        ,
,
,
    , 
    ,   Loading Amenities... 
    ,
,                        ",{}
Ready To Move,,RNG Elite,,,"
                    RNG Elite is a popular residential project that is located in Yelahanka, Bangalore. The project offers 2 BHK and 3 BHK apartments with modern amenities for the comfort of residents. Adding to this, it is situated close to the market, hospital and various educational institutions.,  ,
,
     
                    ,
, ,
     
                ",,https://www.99acres.com/rng-elite-yelahanka-bangalore-north-npxid-r81767?src=NPSRP&sid=UiB8IFFTIHwgUyB8IzI3IyAgfCBOUFNFQVJDSCB8IDcyMDUyNTUyMjAyNDU1MjIgfCM0IyAgfCAyMSM1IyB8IDI1NyB8IDIzICM0MCN8ICA=,,,{},,Price Not Available,"
                        ,
,
,
    , 
    ,   Loading Amenities... 
    ,
,                        ",{}
Ready To Move,,Ankad Residency,,,"
                    Ankad Residency is a popular residential development in Yelahanka Satellite Town, Bangalore. This project offers 2BHK apartments with all modern amenities for the comfort of residents. It is close to bus stop and many educational institutions.,  ,
,
     
                    ,
, ,
     
                ",,https://www.99acres.com/ankad-residency-yelahanka-bangalore-north-npxid-r93992?src=NPSRP&sid=UiB8IFFTIHwgUyB8IzI3IyAgfCBOUFNFQVJDSCB8IDcyMDUyNTUyMjAyNDU1MjIgfCM0IyAgfCAyMSM1IyB8IDI1NyB8IDIzICM0MCN8ICA=,,,{},,Price Not Available,"
                        ,
,
,
    , 
    ,   Loading Amenities... 
    ,
,                        ",{}
Ready To Move,,Century Gitanjali,,,"
                    Century Gitanjali is a residential project of Century Real Estate located in the heart of Bangalore. This residential project comprises 2 BHK and 3 BHK apartments with basic amenities. The area is also well-connected to major schools, banks, hospitals and office complexes.,  ,
,
     
                    ,
, ,
     
                ",,https://www.99acres.com/century-gitanjali-yelahanka-bangalore-north-npxid-r95024?src=NPSRP&sid=UiB8IFFTIHwgUyB8IzI3IyAgfCBOUFNFQVJDSCB8IDcyMDUyNTUyMjAyNDU1MjIgfCM0IyAgfCAyMSM1IyB8IDI1NyB8IDIzICM0MCN8ICA=,,"Founded in 1973, the Century Group has emerged as one of the leading real estate developers based out of Bangalore. The group though had rudimentary beginnings; today Century Group is a promising builder that offers grand residential apartments within the heart of Bangalore. For three decades, the builders have been continuously offering dedicated services in the domains spanning real estate, education and hospitality. The group has ventured into all the segments of real estate such as residential and commercial; recently, they have also,Founded in 1973, the Century Group has emerged as one of the leading real estate developers based out of Bangalore. The group though had rudimentary beginnings; today Century Group is a promising builder that offers grand residential apartments within the heart of Bangalore. For three decades, the builders have been continuously offering dedicated services in the domains spanning real estate, education and hospitality. The group has ventured into all the segments of real estate such as residential and commercial; recently, they have also ventured into the domain of hospitality with multiple hotels coming up in and around Bangalore. End users appreciate the integrity of the projects undertaken by the group; it goes without saying that every real estate project that has been built by the group offers the best in terms of architecture and splendour. Some of the major residential projects undertaken by the group are Century Breeze, Century Indus Phase and Century Eden Plots.",{},,Price Not Available,"
                        ,
,
,
    , 
    ,   Loading Amenities... 
    ,
,                        ",{}
Ready To Move,,Max Orchards Phase 2,,,"
                    Max Orchards Phase 2 is one of the residential development of Maxworth Realty, located at Doddaballapur, Bangalore. It offers residential plots. The project is well equipped with all modern amenities and 24X7 security service to facilitate the needs of the residents.,  ,
,
     
                    ,
, ,
     
                ",,https://www.99acres.com/max-orchards-phase-2-doddaballapur-bangalore-north-npxid-r95004?src=NPSRP&sid=UiB8IFFTIHwgUyB8IzI3IyAgfCBOUFNFQVJDSCB8IDcyMDUyNTUyMjAyNDU1MjIgfCM0IyAgfCAyMSM1IyB8IDI1NyB8IDIzICM0MCN8ICA=,,,{},,Price Not Available,"
                        ,
,
,
    , 
    ,   Loading Amenities... 
    ,
,                        ",{}
Ready To Move,,Lime Lights,,,"
                    Lime Lights is a popular residential development in RWF West Colony, Bangalore. This project offers 2BHK and 3BHK apartments with modarn amenities for the comfort of residents. It is close to the market and many educational institutions.,  ,
,
     
                    ,
, ,
     
                ",,https://www.99acres.com/lime-lights-rwf-west-colony-bangalore-north-npxid-r117109?src=NPSRP&sid=UiB8IFFTIHwgUyB8IzI3IyAgfCBOUFNFQVJDSCB8IDcyMDUyNTUyMjAyNDU1MjIgfCM0IyAgfCAyMSM1IyB8IDI1NyB8IDIzICM0MCN8ICA=,,,{},,Price Not Available,"
                        ,
,
,
    , 
    ,   Loading Amenities... 
    ,
,                        ",{}
Ready To Move,,ISIRI Shree Harsha Nagar,,,"
                    ISIRI Shree Harsha Nagar is one of the popular residential projects that is located in Doddaballapur, Bangalore. Developed by ISIRI Properties, this project offers 2 BHK apartments with basic amenities for the comfort of residents. It is close to market, hospital and many educational institutions.,  ,
,
     
                    ,
, ,
     
                ",,https://www.99acres.com/isiri-shree-harsha-nagar-doddaballapur-bangalore-north-npxid-r106245?src=NPSRP&sid=UiB8IFFTIHwgUyB8IzI3IyAgfCBOUFNFQVJDSCB8IDcyMDUyNTUyMjAyNDU1MjIgfCM0IyAgfCAyMSM1IyB8IDI1NyB8IDIzICM0MCN8ICA=,,,{},,Price Not Available,"
                        ,
,
,
    , 
    ,   Loading Amenities... 
    ,
,                        ",{}
Ready To Move,,Park View Renaissance,,,"
                    Park View Renaissance is a popular residential development in Yelahanka, Bangalore. This project offers 2BHK apartments with modern amenities for the comfort of residents. It is close to bus stop and many educational institutions.,  ,
,
     
                    ,
, ,
     
                ",,https://www.99acres.com/park-view-renaissance-yelahanka-bangalore-north-npxid-r96886?src=NPSRP&sid=UiB8IFFTIHwgUyB8IzI3IyAgfCBOUFNFQVJDSCB8IDcyMDUyNTUyMjAyNDU1MjIgfCM0IyAgfCAyMSM1IyB8IDI1NyB8IDIzICM0MCN8ICA=,,,{},,Price Not Available,"
                        ,
,
,
    , 
    ,   Loading Amenities... 
    ,
,                        ",{}
Ready To Move,,RSR Ram Basil,,,"
                    RSR Ram Basil is one of the popular residential projects in Yelahanka Satellite Town, Bangalore. Developed by RS Ram Properties, this project offers thoughtfully constructed 1BHK and 2BHK residential apartments with basic amenities for the comfort of residents. Adding to this, it is situated close to the market, hospital and many educational institutions.,  ,
,
     
                    ,
, ,
     
                ",,https://www.99acres.com/rsr-ram-basil-yelahanka-new-town-bangalore-north-npxid-r119233?src=NPSRP&sid=UiB8IFFTIHwgUyB8IzI3IyAgfCBOUFNFQVJDSCB8IDcyMDUyNTUyMjAyNDU1MjIgfCM0IyAgfCAyMSM1IyB8IDI1NyB8IDIzICM0MCN8ICA=,,,{},,Price Not Available,"
                        ,
,
,
    , 
    ,   Loading Amenities... 
    ,
,                        ",{}
Ready To Move,,Sri Sai Aishwarya Enclave,,,"
                    Sri Sai Aishwarya Enclave is one of the residential development of Sri Sai Srinivasa Builders and Land Developers, located in Near Kongadiappa College, Doddaballapur, Bangalore. . It offers skillfully designed 2BHK and 3BHK apartments. Project has been designed to facilitate perfect living conditions with optimum light, ventilation and privacy, coupled with fresh and green surroundings, each apartment brings the joy of unhindered living.,  ,
,
     
                    ,
, ,
     
                ",,https://www.99acres.com/sri-sai-aishwarya-enclave-doddaballapur-bangalore-north-npxid-r94708?src=NPSRP&sid=UiB8IFFTIHwgUyB8IzI3IyAgfCBOUFNFQVJDSCB8IDcyMDUyNTUyMjAyNDU1MjIgfCM0IyAgfCAyMSM1IyB8IDI1NyB8IDIzICM0MCN8ICA=,,,{},,Price Not Available,"
                        ,
,
,
    , 
    ,   Loading Amenities... 
    ,
,                        ",{}
Ready To Move,,NJP Muneshwaraswamy Green City,,Residential  Land,"
                    NJP Muneshwaraswamy Green City, located in Bangalore, is a residential development of NJP Aksha Homes Builders . It offers spacious and skillfully designed plots. The project is well equipped with all the basic amenities to facilitate the needs of the residents. The site is in close proximity to various civic utilities.,
,
The township is planned on the concept of  living, where a house becomes an extension of the land and vegetation which surrounds it. Landscaped courtyards are integrated into the house plan and around it. The result is a stimulating living space that is totally integrated with nature.,
,
Features,
Well planned gated community with 24 hours security,
Street light to ensure the layout is well it,
Footpaths, neatly laid along wide asphalted roads,
Underground electrical cabling,
Kids play area with child safe equipment's,
Sump and over head tank  for water supply,
Sanitary  connection to every site,  ,
,
            ,
            ,Total Project Area:,
            ,220.00 Acres,
        ,  
     
                    ,
            ,Configurations:,
            ,Land            ,
        ,
            ,
, ,
     
                ",,https://www.99acres.com/njp-muneshwaraswamy-green-city-yelahanka-bangalore-north-npxid-r305487?src=NPSRP&sid=UiB8IFFTIHwgUyB8IzI3IyAgfCBOUFNFQVJDSCB8IDcyMDUyNTUyMjAyNDU1MjIgfCM0IyAgfCAyMSM1IyB8IDI1NyB8IDIzICM0MCN8ICA=,,,{},,Price Not Available,"
                        ,
,
,
    , 
    ,   Loading Amenities... 
    ,
,                        ",{u'Total Project Area:': u'220.00 Acres'}
Ready To Move,,Sai Narayana Sadan,,,"
                    Sai Narayana Sadan is a popular residential development in Yelahanka New Town, Bangalore. This project offers 2BHK apartments with basic amenities for the comfort of residents. It is close to the market and many educational institutions.,  ,
,
     
                    ,
, ,
     
                ",,https://www.99acres.com/sai-narayana-sadan-yelahanka-new-town-bangalore-north-npxid-r119007?src=NPSRP&sid=UiB8IFFTIHwgUyB8IzI3IyAgfCBOUFNFQVJDSCB8IDcyMDUyNTUyMjAyNDU1MjIgfCM0IyAgfCAyMSM1IyB8IDI1NyB8IDIzICM0MCN8ICA=,,,{},,Price Not Available,"
                        ,
,
,
    , 
    ,   Loading Amenities... 
    ,
,                        ",{}
Ready To Move,,GVR Enclave,,,"
                    GVR Enclave is a popular residential development in Yelahanka New Town, Bangalore. This project offers 1BHK and 2BHK apartments with modern amenities for the comfort of residents. It is close to market, hospital and many educational institutions.,  ,
,
     
                    ,
, ,
     
                ",,https://www.99acres.com/gvr-enclave-yelahanka-new-town-bangalore-north-npxid-r119965?src=NPSRP&sid=UiB8IFFTIHwgUyB8IzI3IyAgfCBOUFNFQVJDSCB8IDcyMDUyNTUyMjAyNDU1MjIgfCM0IyAgfCAyMSM1IyB8IDI1NyB8IDIzICM0MCN8ICA=,,,{},,Price Not Available,"
                        ,
,
,
    , 
    ,   Loading Amenities... 
    ,
,                        ",{}
Ready To Move,,Sri Durga Habitat,,,"
                    Sri Durga Habitat is one of the residential development of its kind by Sri Durga Properties, located in Bangalore. It offers residential plots. The project is well equipped with all the basic amenities to facilitate the needs of the residents.,
,
Project Details,
Total Area: 25 Acres,
Number of units: 160,
Approvals: All major banks,
,
Project Features,
Resorts and Cottages,
Avenue Plantation,
Gated community,
DC converted and approved land,  ,
,
            ,
            ,Total Project Area:,
            ,25.00 Acres,
        ,  
     
                ,
            ,Project Details:,
            ,160 Units ,
        ,  
                ,
, ,
     
                ",,https://www.99acres.com/sri-durga-habitat-doddaballapur-bangalore-north-npxid-r209421?src=NPSRP&sid=UiB8IFFTIHwgUyB8IzI3IyAgfCBOUFNFQVJDSCB8IDcyMDUyNTUyMjAyNDU1MjIgfCM0IyAgfCAyMSM1IyB8IDI1NyB8IDIzICM0MCN8ICA=,,,{},,Price Not Available,"
                        ,
,
,
    , 
    ,   Loading Amenities... 
    ,
,                        ","{u'No. of Units:': u'160 Units', u'Total Project Area:': u'25.00 Acres'}"
Ready To Move,,DHIO Sai Aiswarya Enclave,,,"
                    DHIO Sai Aiswarya Enclave is one of the popular residential projects that is located in Doddaballapur, Bangalore. This project, developed by DHIO Group, offers plots with basic amenities that are required for a comfortable stay of residents. Additionally, it is located in proximity to the market and many educational institutions.,  ,
,
     
                    ,
, ,
     
                ",,https://www.99acres.com/dhio-sai-aiswarya-enclave-doddaballapur-bangalore-north-npxid-r211437?src=NPSRP&sid=UiB8IFFTIHwgUyB8IzI3IyAgfCBOUFNFQVJDSCB8IDcyMDUyNTUyMjAyNDU1MjIgfCM0IyAgfCAyMSM1IyB8IDI1NyB8IDIzICM0MCN8ICA=,,,{},,Price Not Available,"
                        ,
,
,
    , 
    ,   Loading Amenities... 
    ,
,                        ",{}
Ready To Move,Completed : Dec 2004,VG Individuals,,,"
                    VG Individuals, located in Bangalore, is a residential development of Vinsco Group. It offers spacious and skillfully designed 3BHK and 4BHK villas. The project is well equipped with all the basic amenities to facilitate the needs of the residents. The site is in close proximity to various civic utilities.,  ,
,
     
                ,
            ,Project Details:,
            , 3 Floors,
        ,  
                ,
            ,Configurations:,
            ,Villa | 3, 4 BHK            ,
        ,
            ,
, ,
     
                ",,https://www.99acres.com/vg-individuals-attur-layout-bangalore-north-npxid-r171463?src=NPSRP&sid=UiB8IFFTIHwgUyB8IzI3IyAgfCBOUFNFQVJDSCB8IDcyMDUyNTUyMjAyNDU1MjIgfCM0IyAgfCAyMSM1IyB8IDI1NyB8IDIzICM0MCN8ICA=,,,{},,Price Not Available,"
                        ,
,
,
    , 
    ,   Loading Amenities... 
    ,
,                        ",{u'No. of Floors:': u'3 Floors'}
Under Construction,Possession : Dec 2018,DS Greek Township,,,"
                    DS Greek Township is a popular residential development in Yelahanka, Bangalore. Developed by DS Group, this project offers apartments with basic amenities for the comfort of residents. It is close to the market and many educational institutions.,  ,
,
     
                    ,
, ,
     
                ",,https://www.99acres.com/ds-greek-township-yelahanka-bangalore-north-npxid-r227827?src=NPSRP&sid=UiB8IFFTIHwgUyB8IzI3IyAgfCBOUFNFQVJDSCB8IDcyMDUyNTUyMjAyNDU1MjIgfCM0IyAgfCAyMSM1IyB8IDI1NyB8IDIzICM0MCN8ICA=,,,{},,Price Not Available,"
                        ,
,
,
    , 
    ,   Loading Amenities... 
    ,
,                        ",{}
New Launch,,JS Serene Woods,,,"
                    JS Serene Woods is an upcoming project of JS Homes Bangalore with a prime location in Yelahanka, Bangalore. The project will be thoughtfully designed to ensure maximum comfort for residents. The project will be offering apartments. Furthermore, its proximity to market, hospital and various educational institutions will be an added advantage for residents.,  ,
,
     
                    ,
, ,
     
                ",,https://www.99acres.com/js-serene-woods-yelahanka-bangalore-north-npxid-r228785?src=NPSRP&sid=UiB8IFFTIHwgUyB8IzI3IyAgfCBOUFNFQVJDSCB8IDcyMDUyNTUyMjAyNDU1MjIgfCM0IyAgfCAyMSM1IyB8IDI1NyB8IDIzICM0MCN8ICA=,,"Since its inception in 2010, JS Group is delivering state-to-art projects that showcase the quality work. With a clear vision and dedication, it provides end-to-end realty solutions and delivers maximum value for money to the stake holders and the buyers. The group have a team of dedicated and trained professionals who takes pride in setting benchmarks by combining transparency with an assurance of quality. JS is committed to adopt safety measures by adhering to the principles of EHS policy. It practices resourceful energy utilization,Since its inception in 2010, JS Group is delivering state-to-art projects that showcase the quality work. With a clear vision and dedication, it provides end-to-end realty solutions and delivers maximum value for money to the stake holders and the buyers. The group have a team of dedicated and trained professionals who takes pride in setting benchmarks by combining transparency with an assurance of quality. JS is committed to adopt safety measures by adhering to the principles of EHS policy. It practices resourceful energy utilization management and promotes environment friendly construction material. Few of the delivered projects the group are Serene Woods, Lotus, Nikhil Residency and more.",{},,Price Not Available,"
                        ,
,
,
    , 
    ,   Loading Amenities... 
    ,
,                        ",{}
Ready To Move,,Hindh Garden City,,,"
                    Hindh Garden City, located in Bangalore, is one of the residential developments of Hindh Realty. It offers residential plots. The project is well equipped with all the amenities to facilitate the needs of the residents.,
 ,
Project Details,
Project Area: 10000 Acres,
,
Features,
Cool, calm and traffic free place,
Easy to travel around the Bangalore city from the project,  ,
,
            ,
            ,Total Project Area:,
            ,999.99 Acres,
        ,  
     
                    ,
, ,
     
                ",,https://www.99acres.com/hindh-garden-city-doddaballapur-bangalore-north-npxid-r245639?src=NPSRP&sid=UiB8IFFTIHwgUyB8IzI3IyAgfCBOUFNFQVJDSCB8IDcyMDUyNTUyMjAyNDU1MjIgfCM0IyAgfCAyMSM1IyB8IDI1NyB8IDIzICM0MCN8ICA=,,,{},,Price Not Available,"
                        ,
,
,
    , 
    ,   Loading Amenities... 
    ,
,                        ",{u'Total Project Area:': u'999.99 Acres'}
