Project_name,project_by,location,Super Built Area,Price Range,Price Per Sq Ft,Description,Project Status,possession_date,Bedrooms,units,towers,unit_price,rera_no,lat_lng
"
Celebrity Square
",Celebrity Structures India Pvt Ltd.,"
in Sarjapur Road
, Bangalore

 
","1052
sqft",,,"
Description:


This is a spacious Flat in Celebrity Square, Sarjapur-Attibele Road. 31. 6 Lac is the value of the Flat. The well planned Flat offers latest facilities such as like Swimming Pool, Lift, Power Back Up, Security and Gym.  



",Ready To Move,"
Ready To Move
","
3 BHK
Apartment

",252 Units ,2 Towers ,"(3 BHK Flat->1052 sqft), (3 BHK Flat->1070 sqft), (3 BHK Flat->1092 sqft), (3 BHK Flat->1097 sqft), (3 BHK Flat->1112 sqft) ",,"lat=12.817233,longt=77.79295"
"
Celebrity Natures Habitat
",Celebrity Structures India Pvt Ltd.,"
in Sarjapur-Attibele Road
, Bangalore

 
","1735
sqft","₹
72.5 Lac","₹
4,179 per
sqft","
Description:


Celebrity Nature Habitat Your home is the perfect setting to live out the story of your life .A story, that inspires others and indulge your near and dear ones with the Rays Of Happines. Celebrity Nature's Habitat Fulfills  



",Ongoing,"
Ready To Move
","
3 BHK
Villa

",291 Units ,,"(3 BHK Villa->3388 sqft), (3 BHK Villa->3464 sqft), (3 BHK Villa->3369 sqft), (3 BHK Villa->3314 sqft), (3 BHK Villa->1735 sqft), (3 BHK Villa->1908 sqft), (3 BHK Villa->1756 sqft), (3 BHK Villa->1881 sqft), (3 BHK Villa->2246 sqft), (3 BHK Villa->2229 sqft) ",,"lat=12.817233,longt=77.79295"
"
Zonasha Paradiso
",Zonasha Estates and Projects,"
in Marathahalli
, Bangalore

 
","3765
sqft","₹
3.46 Cr","₹
9,201 per
sqft","
Description:


Luxury homes built around the life and lifestyle of those who are at the pinnacle of success. each home comes with all the right elements to create a living space that complements your achievements 



",Ready To Move,"
Possession in 2018
","
4 BHK
Villa

",137 Units ,,"(4 BHK Villa->3778 sqft), (4 BHK Villa->3753 sqft), (4 BHK Villa->3765 sqft), (4 BHK Villa->4124 sqft), (4 BHK Villa->4169 sqft), (4 BHK Villa->4187 sqft), (4 BHK Villa->4195 sqft) ",,"lat=12.95788,longt=77.704865"
"
Nester Raga
",Nester Projects,"
in Marathahalli
, Bangalore

 
","1850
sqft","₹
1.15 Cr","₹
6,216 per
sqft","
Description:


The Expected price for the Apartment is approx 1. 15 Cr. It is located on 6 level out of 6 floors in all and is also well ventilated. It is a 3 bed room flat located in Nester Raga, Marathahalli. It has 1850. 0 Sq-ft area  



",Ready To Move,"
Possession in 2018
","
3 BHK
Apartment

",195 Units ,3 Towers ,"(2 BHK Flat->1265 sqft), (2 BHK Flat->1424 sqft), (2 BHK Flat->1451 sqft), (3 BHK Flat->1650 sqft), (3 BHK Flat->1707 sqft), (3 BHK Flat->1754 sqft), (3 BHK Flat->1805 sqft), (3 BHK Flat->1850 sqft), (4 BHK Flat->2667 sqft), (4 BHK Flat->2734 sqft) ",,"lat=12.95788,longt=77.704865"
"
Amrutha Dhara
",Bab Dada Builders,"
in AECS Layout
, Bangalore

 
","1099
sqft","₹
41.1 Lac","₹
3,736 per
sqft","
Description:


Best locality with ready to occupy and good quality construction and also very near to upcoming metro station and also good ventilation. 



",Ready To Move,"
Possession in 2018
","
2 BHK
Apartment

",42 Units ,1 Towers ,"(2 BHK Flat->1099 sqft), (2 BHK Flat->1184 sqft), (2 BHK Flat->1221 sqft), (2 BHK Flat->1414 sqft), (2 BHK Flat->1569 sqft) ",,"lat=12.95788,longt=77.704865"
"
Bren Unity
",Bredco Devlopers,"
in Marathahalli
, Bangalore

 
","1251
sqft","₹
75.0 Lac","₹
5,995 per
sqft","
Description:


The flat taken possession in 2014. Kitchen wood work with chimney. One small puja room infront dining. Part woodwork in bedroom 



",Ready To Move,"
Possession in 2018
","
3 BHK
Apartment

",432 Units ,18 Towers ,"(2 BHK Flat->950 sqft), (2 BHK Flat->958 sqft), (2 BHK Flat->1100 sqft), (3 BHK Flat->1251 sqft) ",,"lat=12.95788,longt=77.704865"
"
Sonestaa iWoods
",Nirman Sonesta Developers,"
in Bellandur
, Bangalore

 
","1214
sqft","₹
68.4 Lac","₹
5,632 per
sqft","
Description:


It is a well-designed beautiful Unit situated in Sonestaa iWoods, Bellandur. Around 61. 8 Lac is what the price expected of the Unit. With 2 room and 2 spacious bathrooms, the Unit is Unfurnished. The Unit has modern  



",Ongoing,"
Ongoing
","
2 BHK
Apartment

",292 Units ,9 Towers ,"(2 BHK Flat->1047 sqft), (2 BHK Flat->1214 sqft), (2 BHK Flat->1311 sqft), (3 BHK Flat->1415 sqft), (3 BHK Flat->1505 sqft), (3 BHK Flat->1523 sqft), (3 BHK Flat->1698 sqft), (3 BHK Flat->1718 sqft), (3 BHK Flat->1774 sqft) ",,"lat=12.929566,longt=77.674126"
"
GCN Brindavan
",GCN Group,"
in Whitefield
, Bangalore

 
","1045
sqft","₹
45.0 Lac","₹
4307 per
sqft","
Description:


More sunlight 3 side ventilation no noise disturbance complete privacy. 



",Ongoing,"
Ready To Move
","
2 BHK
Apartment

",136 Units ,3 Towers ,"(2 BHK Flat->1045 sqft), (3 BHK Flat->1225 sqft) ",,"lat=12.817233,longt=77.79295"
"
DNR Casablanca
",DNR Corporation Pvt. Ltd.,"
in Mahadevapura
, Bangalore

 
","1412
sqft","₹
95.9 Lac","₹
6,788 per
sqft","
Description:


It is our pleasure to introduce you our new upcoming residential Project DNR Casablanca Located on Mahadevpura Main Road, Off Outer Ring Road, Adjacent to HP Campus. DNR Casablanca is having 2, 2.5 and 3 BHKs  



",Under Construction,"
Possession in 2020
","
3 BHK
Apartment

",200 Units ,2 Towers ,"(2 BHK Flat->1274 sqft), (3 BHK Flat->1412 sqft), (3 BHK Flat->1842 sqft) ",,"lat=12.99425,longt=77.68977"
"
BSR Paradise
",Winning Edge Group,"
in Marathahalli
, Bangalore

 
","1117
sqft","₹
62.0 Lac","₹
5,551 per
sqft","
Description:


It is a 2 BHK apartment in BSR Paradise, Marathahalli. It offers 1117 Sq-ft of covered area. It is situated on 4th floor out of 5 floors in all and is good space to live in. The Unit features 2 bathroom and also has 1  



",Ready To Move,"
Possession in 2018
","
2 BHK
Apartment

",,,"(1 BHK Flat->655 sqft), (1 BHK Flat->657 sqft), (2 BHK Flat->853 sqft), (2 BHK Flat->870 sqft), (2 BHK Flat->991 sqft), (2 BHK Flat->1057 sqft), (2 BHK Flat->1087 sqft), (2 BHK Flat->1100 sqft), (2 BHK Flat->1115 sqft), (2 BHK Flat->1117 sqft), (2 BHK Flat->1200 sqft), (2 BHK Flat->1253 sqft), (3 BHK Flat->1240 sqft), (3 BHK Flat->1250 sqft), (3 BHK Flat->1305 sqft), (3 BHK Flat->1343 sqft), (3 BHK Flat->1366 sqft), (3 BHK Flat->1467 sqft), (3 BHK Flat->1539 sqft), (3 BHK Flat->1553 sqft), (3 BHK Flat->1581 sqft), (3 BHK Flat->1649 sqft), (3 BHK Flat->1673 sqft), (3 BHK Flat->1786 sqft), (3 BHK Flat->1813 sqft) ",,"lat=12.95788,longt=77.704865"
"
Pranavah Springs
",Pranavah Promoters Pvt Ltd.,"
in Marathahalli
, Bangalore

 
","1278
sqft","₹
55.0 Lac","₹
4303 per
sqft","
Description:


The Expected price of this Flat is fixed at 55 Lac. It measures 1278 Sq-ft of usable area. The Flat features 2 bathroom and also has 2 airy balconies. This is a 2 bed room flat located in Pranavah Springs, Marathahalli. It  



",Ready To Move,"
Possession in 2018
","
2 BHK
Apartment

",,,(2 BHK Flat->1278 sqft) ,,"lat=12.95788,longt=77.704865"
"
Nester Harmony
",Nester Projects,"
in Mahadevapura
, Bangalore

 
","1601
sqft","₹
90.0 Lac","₹
5,621 per
sqft","
Description:


Nester Harmony a new Residential Project at Mahadevapura is an Ultra Modern and elegant project which promises a truly world class living experience. The apartment has all facilities and lifestyle amenities including Club  



",Ready To Move,"
Possession in 2020
","
3 BHK
Apartment

",127 Units ,5 Towers ,"(3 BHK Flat->1601 sqft), (3 BHK Flat->1613 sqft), (3 BHK Flat->1624 sqft), (3 BHK Penthouse->1954 sqft), (3 BHK Penthouse->1840 sqft) ",,"lat=12.99425,longt=77.68977"
"
Pavani Fortune
",Pavani Homes,"
in Marathahalli
, Bangalore

 
","1560
sqft","₹
70.0 Lac","₹
4487 per
sqft","
Description:


Wish a spacious house away from noise and pollution & At the same time want it to be at extremely convenient location for daily needs like travel and groceries ?? Then You are looking at the perfect listing 



",Ready To Move,"
Possession in 2018
","
3 BHK
Apartment

",16 Units ,1 Towers ,"(2 BHK Flat->1145 sqft), (3 BHK Flat->1560 sqft) ",,"lat=12.95788,longt=77.704865"
"
Purvi Mithila
",Sai Purvi Developers,"
in Marathahalli
, Bangalore

 
","1595
sqft","₹
90.0 Lac","₹
5642 per
sqft","
Description:


Welcome to the Investors Unit in Purvi Mithila. Its very good gated community with 144 Units in 4 Blocks.. It has good Amenities as well.. Apartment is ready for Interior. OC Already Received. Particular flat has very  



",Ongoing,"
Possession in 2018
","
3 BHK
Apartment

",144 Units ,4 Towers ,"(2 BHK Flat->1150 sqft), (2 BHK Flat->1185 sqft), (3 BHK Flat->1215 sqft), (3 BHK Flat->1550 sqft), (3 BHK Flat->1595 sqft), (3 BHK Flat->1600 sqft), (3 BHK Flat->1730 sqft), (3 BHK Flat->1830 sqft) ",,"lat=12.95788,longt=77.704865"
"
Divyasree 77 Place
",DivyaSree Developers,"
in Marathahalli
, Bangalore

 
","1857
sqft","₹
1.82 Cr","₹
9,801 per
sqft","
Description:


The property is a 3 BHK in a gated community in Divya shree 77 degree place and located in centrally at old airport road, the unit boasts with major amenities like gym, swimming pool, landscaped gardens and children's play  



",Ongoing,"
Possession in 2018
","
3 BHK
Apartment

",370 Units ,6 Towers ,"(3 BHK Flat->1857 sqft), (3 BHK Flat->2273 sqft), (3 BHK Flat->2487 sqft), (3 BHK Flat->2935 sqft), (3 BHK Flat->3028 sqft), (4 BHK Flat->2712 sqft), (4 BHK Flat->3105 sqft), (4 BHK Flat->3208 sqft), (4 BHK Flat->3528 sqft) ",,"lat=12.95788,longt=77.704865"
"
Sumadhura Essenza
",Sumadhura Infracon Private Limited,"
in Hosa Road Junction
, Bangalore

 
","1730
sqft","₹
88.2 Lac","₹
5099 per
sqft","
Description:


The amenities and facilities meet every requirement, tastes and preferences of the modern homebuyer. Hosur road is the space between Electronic City Flyover and Sarjapur Main Road. Its precise in the south-west of Bengaluru.  



",Ready To Move,"
Ready To Move
","
3 BHK
Apartment

",138 Units ,3 Towers ,"(2 BHK Flat->1340 sqft), (2 BHK Flat->1580 sqft), (3 BHK Flat->1730 sqft), (3 BHK Flat->2090 sqft) ",,"lat=12.817233,longt=77.79295"
"
Rohan Vasantha
",Rohan Builders India,"
in Marathahalli
, Bangalore

 
","1200
sqft","₹
80.0 Lac","₹
6,667 per
sqft","
Description:


Property Type: Apartment sale Location: Rohan Vasantha Area:1200 sqft Furnishing: Semi Furnished Expected price: 80 lacs Number of BHK: 2 Possesion Status: Ready to move in An apartment is out for sale in Rohan  



",Ready To Move,"
Possession in 2018
","
2 BHK
Apartment

",500 Units ,4 Towers ,"(2 BHK Flat->1150 sqft), (2 BHK Flat->1172 sqft), (2 BHK Flat->1200 sqft), (2 BHK Flat->1240 sqft), (3 BHK Flat->1272 sqft), (3 BHK Flat->1640 sqft), (3 BHK Flat->1680 sqft), (3 BHK Flat->1760 sqft) ",,"lat=12.95788,longt=77.704865"
"
Bren Avalon
",Bren Corporation,"
in Marathahalli
, Bangalore

 
","1419
sqft","₹
85.0 Lac","₹
5990 per
sqft","
Description:


All inclusive multistorey 3 BHK furnished BBMP approved apartment 1419 sq-ft area Single Registered owner. Price includes, One covered car parking slot, interiors wardrobe, Modular Kitchen, kitchen cabinet, storage cabinet,  



",Ready To Move,"
Possession in 2018
","
3 BHK
Apartment

",390 Units ,10 Towers ,"(2 BHK Flat->1023 sqft), (2 BHK Flat->1030 sqft), (2 BHK Flat->1037 sqft), (2 BHK Flat->1058 sqft), (2 BHK Flat->1127 sqft), (3 BHK Flat->1406 sqft), (3 BHK Flat->1418 sqft), (3 BHK Flat->1419 sqft) ",,"lat=12.95788,longt=77.704865"
"
Nagarjuna Maple Heights
",NCC Urban Infrastructure Ltd.,"
in Mahadevapura
, Bangalore

 
","1504
sqft","₹
75.0 Lac","₹
4,987 per
sqft","
Description:


Beautiful apartment located in center of the city and very near by school, colleges, hospitals etc., 



",Ready To Move,"
Possession in 2020
","
2 BHK
Apartment

",280 Units ,3 Towers ,"(2 BHK Flat->1333 sqft), (2 BHK Flat->1504 sqft), (3 BHK Flat->1657 sqft) ",,"lat=12.99425,longt=77.68977"
"
Durga Rainbow
",Durga Projects and Infrastructures,"
in Mahadevapura
, Bangalore

 
","1205
sqft","₹
78.0 Lac","₹
6,473 per
sqft","
Description:


The Flat is on floor 9 of a total of 14 & measures 1205. 0 Sq-ft. With 2 room and 2 spacious bathrooms, this Flat is Semi-Furnished. It is a well-designed beautiful Flat built in Durga Rainbow, Mahadevapura. Around 78 Lac  



",Ready To Move,"
Possession in 2020
","
2 BHK
Apartment

",141 Units ,1 Towers ,"(2 BHK Flat->988 sqft), (2 BHK Flat->1130 sqft), (2 BHK Flat->1140 sqft), (2 BHK Flat->1162 sqft), (2 BHK Flat->1173 sqft), (2 BHK Flat->1184 sqft), (2 BHK Flat->1205 sqft), (2 BHK Flat->1216 sqft), (2 BHK Flat->1227 sqft), (2 BHK Flat->1248 sqft), (2 BHK Flat->1280 sqft), (2 BHK Flat->1377 sqft), (2 BHK Flat->1433 sqft), (2 BHK Flat->1460 sqft), (2 BHK Flat->1582 sqft), (3 BHK Flat->1614 sqft), (3 BHK Flat->1650 sqft), (3 BHK Flat->1657 sqft) ",,"lat=12.99425,longt=77.68977"
"
GRC Brundavan
",GRC Group,"
in Mysore Road
, Bangalore

 
","1155
sqft","₹
75.1 Lac","₹
6,500 per
sqft","
Description:


2 BHK flat GRC Group proudly presents an addition to its legacy of high quality luxury homes. GRC Brundavan is not built on the solitary premise of housing but on a holistic approach of providing better living environments.  



",Ready To Move,"
Ready To Move
","
2 BHK
Apartment

",498 Units ,5 Towers ,"(2 BHK Flat->1090 sqft), (2 BHK Flat->1115 sqft), (2 BHK Flat->1150 sqft), (2 BHK Flat->1155 sqft), (2 BHK Flat->1205 sqft), (2 BHK Flat->1260 sqft), (2 BHK Flat->1280 sqft), (3 BHK Flat->1325 sqft), (3 BHK Flat->1380 sqft), (3 BHK Flat->1405 sqft), (3 BHK Flat->1425 sqft), (3 BHK Flat->1525 sqft), (3 BHK Flat->1540 sqft), (3 BHK Flat->1570 sqft) ",,"lat=12.817233,longt=77.79295"
"
Brigade Metropolis
",Brigade Group,"
in Mahadevapura
, Bangalore

 
","1800
sqft","₹
1.35 Cr","₹
7,500 per
sqft","
Description:


3 bed room semi furnished flat with all fittings / fixture and car park the apartment complex has all the facilities with back up power, kids play area, and lot of open space open for any further details feel free to contact  



",Ready To Move,"
Possession in 2020
","
3 BHK
Apartment

",1608 Units ,12 Towers ,"(1 BHK Flat->800 sqft), (1 BHK Flat->830 sqft), (2 BHK Flat->1290 sqft), (3 BHK Flat->1610 sqft), (3 BHK Flat->1630 sqft), (3 BHK Flat->1800 sqft), (3 BHK Flat->1840 sqft), (3 BHK Flat->1960 sqft) ",,"lat=12.99425,longt=77.68977"
"
Alpine Eco
",Alpine Housing,"
in Marathahalli
, Bangalore

 
","1864
sqft","₹
1.10 Cr","₹
5,901 per
sqft","
Description:


The flat consists of 3 bathrooms and has 3 open balconies. It is built up in 1864 sq-ft of covered area. 



",Ready To Move,"
Possession in 2018
","
3 BHK
Apartment

",650 Units ,11 Towers ,"(2 BHK Flat->1055 sqft), (2 BHK Flat->1148 sqft), (2 BHK Flat->1188 sqft), (2 BHK Flat->1458 sqft), (3 BHK Flat->1664 sqft), (3 BHK Flat->1864 sqft), (3 BHK Flat->1905 sqft), (3 BHK Flat->1975 sqft) ",,"lat=12.95788,longt=77.704865"
"
Nitesh Cape Cod
",Nitesh Estates,"
in Marathahalli
, Bangalore

 
","1260
sqft","₹
88.0 Lac","₹
6,984 per
sqft","
Description:


Brand New unfurnished 2BHK East Facing apartment for sale 



",Under Construction,"
Possession in 2018
","
2 BHK
Apartment

",417 Units ,8 Towers ,"(2 BHK Flat->1260 sqft), (3 BHK Flat->1665 sqft), (3 BHK Flat->1667 sqft), (3 BHK Flat->1685 sqft), (3 BHK Flat->1697 sqft), (3 BHK Flat->1705 sqft), (3 BHK Flat->1716 sqft), (3 BHK Flat->1753 sqft), (3 BHK Flat->1946 sqft), (3 BHK Flat->2009 sqft), (4 BHK Flat->2385 sqft), (4 BHK Flat->2428 sqft) ",,"lat=12.95788,longt=77.704865"
"
Saptagiri Sannidhi
",,"
in Marathahalli
, Bangalore
","1310
sqft","₹
63.3 Lac","₹
4,828 per
sqft","
Description:


A Khata property, Clear title project. BBMP approved CC OC property. 



",Under Construction,"
Possession in 2018
","
3 BHK
Apartment

",,,"(2 BHK Flat->950 sqft), (2 BHK Flat->957 sqft), (2 BHK Flat->1019 sqft), (2 BHK Flat->1215 sqft), (3 BHK Flat->1310 sqft), (3 BHK Flat->1385 sqft), (3 BHK Flat->1425 sqft) ",,"lat=12.95788,longt=77.704865"
"
Chourasia Manor Phase 2
",VKC Developers Pvt Ltd.,"
in Marathahalli
, Bangalore

 
","1297
sqft","₹
57.0 Lac","₹
4,395 per
sqft","
Description:


VKC Chourasia Manor Phase 2 is a residential project developed by VKC Developers. The project offers very well designed residential 2BHK and 3BHK apartments. The project is well connected by various modes of transportation.  



",Ready To Move,"
Possession in 2018
","
2 BHK
Apartment

",160 Units ,3 Towers ,"(2 BHK Flat->1297 sqft), (2 BHK Flat->1357 sqft), (2 BHK Flat->1389 sqft), (2 BHK Flat->1484 sqft), (3 BHK Flat->1520 sqft), (3 BHK Flat->1530 sqft), (3 BHK Flat->1692 sqft), (3 BHK Flat->1750 sqft), (3 BHK Flat->1785 sqft), (3 BHK Flat->1804 sqft) ",,"lat=12.95788,longt=77.704865"
"
Assetz East Point
",Assetz Homes,"
in Marathahalli
, Bangalore

 
","1330
sqft","₹
90.0 Lac","₹
6,767 per
sqft","
Description:


This spacious Home is on level 6 of 14 and is built up in 1330 Sq-ft. 90 Lac is the price of Home. This is a spacious Home built in Assetz East Point, Bellandur. Each tower offers 2 elevators for convienence. Having 2  



",Ready To Move,"
Possession in 2018
","
2 BHK
Apartment

",425 Units ,10 Towers ,"(1 BHK Flat->780 sqft), (2 BHK Flat->1330 sqft), (2 BHK Flat->1350 sqft), (3 BHK Flat->1730 sqft), (3 BHK Flat->2170 sqft), (3 BHK Flat->2450 sqft), (4 BHK Penthouse->3400 sqft) ",,"lat=12.95788,longt=77.704865"
"
Uniidus Breeze
",Uniidus Projects,"
in Marathahalli
, Bangalore

 
","1245
sqft","₹
67.0 Lac","₹
5,382 per
sqft","
Description:


The Unit consists of 2 washroom and 1 balcony. It offers 1245 Sq-ft area for use. The Value for this Unit is 67 Lac. It is a 3 bedroom flat in Uniidus Breeze, Marathahalli. It lies on 3 floor of the 4 floors in all and is  



",Ongoing,"
Possession in 2018
","
3 BHK
Apartment

",120 Units ,,"(2 BHK Flat->969 sqft), (2 BHK Flat->981 sqft), (2 BHK Flat->1103 sqft), (3 BHK Flat->1245 sqft) ",,"lat=12.95788,longt=77.704865"
"
Malibu Sparkling Wings
",Malibu Projects,"
in Marathahalli
, Bangalore

 
","1122
sqft","₹
47.1 Lac","₹
4,200 per
sqft","
Description:


An under construction, brand new 2BHK Residential Flat offering all stunning facilities and amenities is up for sale. Situated in the high-end locality of Malibu Sparkling Wings, Marathahalli, Bangalore, this flat is  



",Under Construction,"
Possession in 2018
","
2 BHK
Apartment

",72 Units ,2 Towers ,"(2 BHK Flat->1014 sqft), (2 BHK Flat->1016 sqft), (2 BHK Flat->1065 sqft), (2 BHK Flat->1079 sqft), (2 BHK Flat->1122 sqft), (3 BHK Flat->1281 sqft), (3 BHK Flat->1331 sqft), (3 BHK Flat->1397 sqft) ",,"lat=12.95788,longt=77.704865"
"
Habitat Eden Heights 
",Habitat Ventures Private Limited,"
in Whitefield
, Bangalore

 
","1447
sqft","₹
1.04 Cr","₹
7,187 per
sqft","
Description:


It is a well-designed beautiful Home situated in Habitat Eden Heights , Whitefield. Each tower offers 2 elevators. Featuring 2 bedroom and 2 spacious bathrooms, this Home is Unfurnished. Has Vitrified flooring in rooms. The  



",Under Construction,"
Possession in 2020
","
2 BHK
Apartment

",314 Units ,4 Towers ,"(2 BHK Flat->1354 sqft), (2 BHK Flat->1399 sqft), (2 BHK Flat->1417 sqft), (2 BHK Flat->1447 sqft), (3 BHK Flat->1768 sqft), (3 BHK Flat->1797 sqft), (3 BHK Flat->1823 sqft), (3 BHK Flat->1845 sqft), (3 BHK Flat->1971 sqft), (3 BHK Flat->2021 sqft) ",,"lat=12.993047,longt=77.80596"
"
SLS Sunflower
",SLS Developers,"
in Marathahalli
, Bangalore

 
","1005
sqft","₹
59.0 Lac","₹
5,871 per
sqft","
Description:


Behind Cisco, Next to New horizon Vidyamandir road 



",Ready To Move,"
Possession in 2018
","
2 BHK
Apartment

",160 Units ,2 Towers ,"(2 BHK Flat->900 sqft), (2 BHK Flat->924 sqft), (2 BHK Flat->935 sqft), (2 BHK Flat->948 sqft), (2 BHK Flat->960 sqft), (2 BHK Flat->970 sqft), (2 BHK Flat->971 sqft), (2 BHK Flat->993 sqft), (2 BHK Flat->995 sqft), (2 BHK Flat->1000 sqft), (2 BHK Flat->1005 sqft), (2 BHK Flat->1009 sqft), (2 BHK Flat->1020 sqft), (2 BHK Flat->1035 sqft), (2 BHK Flat->1050 sqft), (2 BHK Flat->1055 sqft), (2 BHK Flat->1058 sqft), (2 BHK Flat->1065 sqft), (2 BHK Flat->1070 sqft), (2 BHK Flat->1077 sqft), (2 BHK Flat->1090 sqft), (2 BHK Flat->1095 sqft), (2 BHK Flat->1099 sqft), (2 BHK Flat->1110 sqft), (2 BHK Flat->1115 sqft), (2 BHK Flat->1130 sqft), (2 BHK Flat->1140 sqft), (2 BHK Flat->1150 sqft), (2 BHK Flat->1160 sqft), (3 BHK Flat->1005 sqft), (3 BHK Flat->1120 sqft), (3 BHK Flat->1135 sqft), (3 BHK Flat->1137 sqft), (3 BHK Flat->1164 sqft), (3 BHK Flat->1200 sqft), (3 BHK Flat->1285 sqft), (3 BHK Flat->1295 sqft), (3 BHK Flat->1318 sqft), (3 BHK Flat->1885 sqft) ",,"lat=12.95788,longt=77.704865"
"
DSR Green Fields
",DSR Infrastructure,"
in Whitefield
, Bangalore

 
","1564
sqft","₹
73.0 Lac","₹
4,668 per
sqft","
Description:


This flat has been designed by an interior designer and is Vaastu compliant in all aspects. 



",Ready To Move,"
Possession in 2020
","
3 BHK
Apartment

",222 Units ,6 Towers ,"(2 BHK Flat->1022 sqft), (2 BHK Flat->1081 sqft), (2 BHK Flat->1113 sqft), (2 BHK Flat->1175 sqft), (2 BHK Flat->1218 sqft), (3 BHK Flat->1444 sqft), (3 BHK Flat->1564 sqft), (3 BHK Flat->1698 sqft), (2 BHK Builder Floor Apt.->1094 sqft), (3 BHK Builder Floor Apt.->1477 sqft), (3 BHK Builder Floor Apt.->1437 sqft) ",,"lat=12.993047,longt=77.80596"
"
DSR Sunrise Towers
",DSR Infrastructure,"
in Whitefield
, Bangalore

 
","1860
sqft","₹
1.02 Cr","₹
5,484 per
sqft","
Description:


It is a well-designed spacious Apartment located in DSR Sunrise Towers, Whitefield. There is space for car parking facility. Around 1. 02 Cr is what the price expected of the Apartment. Wooden and Vitrified used as flooring.  



",Ready To Move,"
Possession in 2020
","
3 BHK
Apartment

",228 Units ,4 Towers ,"(3 BHK Flat->1630 sqft), (3 BHK Flat->1640 sqft), (3 BHK Flat->1645 sqft), (3 BHK Flat->1705 sqft), (3 BHK Flat->1715 sqft), (3 BHK Flat->1725 sqft), (3 BHK Flat->1790 sqft), (3 BHK Flat->1850 sqft), (3 BHK Flat->1860 sqft), (3 BHK Flat->2005 sqft), (3 BHK Flat->2010 sqft) ",,"lat=12.993047,longt=77.80596"
"
Orchid Whitefield
",Goyal & Co Hariyana Group,"
in Whitefield
, Bangalore

 
","750
sqft","₹
52.7 Lac","₹
7,028 per
sqft","
Description:


It is a well-designed Apartment located in Orchid Whitefield, Whitefield. Apart from great space, it has state-of-the-art amenities like Swimming Pool, Club House and Internet/Wi-Fi Connectivity. Featuring 2 bedroom and 2  



",Ongoing,"
Possession in 2020
","
2 BHK
Apartment

",492 Units ,5 Towers ,"(2 BHK Flat->750 sqft), (2 BHK Flat->1123 sqft), (2 BHK Flat->1173 sqft), (2 BHK Flat->1350 sqft), (3 BHK Flat->1520 sqft), (3 BHK Flat->1544 sqft), (3 BHK Flat->1564 sqft), (3 BHK Flat->1610 sqft) ",,"lat=12.993047,longt=77.80596"
"
Desai Radiant
",Desai Developers,"
in Whitefield
, Bangalore

 
","1345
sqft","₹
78.3 Lac","₹
5,822 per
sqft","
Description:


BBMP (Corporation) B Plus G Plus12 = 13 Floor approved 2 and 3 BHK Luxury Flats for sale Hope farm Signal, Whitefield Main road, Pattandura Agrahara, Dr. Ambedkar Nagar road, 400 meters from Whitefield main road, 300  



",Ready To Move,"
Possession in 2020
","
2 BHK
Apartment

",130 Units ,2 Towers ,"(2 BHK Flat->960 sqft), (2 BHK Flat->1085 sqft), (2 BHK Flat->1105 sqft), (2 BHK Flat->1110 sqft), (2 BHK Flat->1120 sqft), (2 BHK Flat->1145 sqft), (2 BHK Flat->1300 sqft), (2 BHK Flat->1345 sqft), (2 BHK Flat->1365 sqft), (3 BHK Flat->1415 sqft), (3 BHK Flat->1445 sqft), (3 BHK Flat->1475 sqft), (3 BHK Flat->1595 sqft), (3 BHK Flat->1735 sqft) ",,"lat=12.993047,longt=77.80596"
"
Terra Alegria
",M1 Homes,"
in Whitefield
, Bangalore

 
","1650
sqft","₹
74.0 Lac","₹
4484 per
sqft","
Description:


Terra Alegria, a Gated Luxury Villa Community project spread over 30 Acres, located in Whitefield East-end. This project is strategically located just off the NH4 and bang on NH 207, and offers excellent connectivity to IT  



",Under Construction,"
Possession in 2020
","
3 BHK
Villa

",103 Units ,,"(3 BHK Villa->1650 sqft), (3 BHK Villa->1787 sqft), (3 BHK Villa->1906 sqft), (3 BHK Villa->1877 sqft), (3 BHK Villa->1991 sqft), (3 BHK Villa->2461 sqft), (3 BHK Villa->2591 sqft), (3 BHK Villa->1836 sqft), (3 BHK Villa->1838 sqft), (3 BHK Villa->1800 sqft), (3 BHK Villa->1700 sqft), (3 BHK Villa->1924 sqft), (3 BHK Villa->1850 sqft), (3 BHK Villa->1990 sqft), (3 BHK Villa->2150 sqft), (4 BHK Villa->2330 sqft), (4 BHK Villa->2500 sqft) ",,"lat=12.993047,longt=77.80596"
"
Sumadhura Pranavam
",Sumadhura Infracon Private Limited,"
in Whitefield
, Bangalore

 
","1698
sqft","₹
96.8 Lac","₹
5,699 per
sqft","
Description:


This is a well apppointed beautiful Flat in Sumadhura Pranavam, Whitefield. This spacious Flat is on 1st floor of 4 and is built up in 1698 Sq-ft. With 3 room and 3 spacious bathrooms, this Flat is Unfurnished. The Flat  



",Ready To Move,"
Possession in 2020
","
3 BHK
Apartment

",198 Units ,9 Towers ,"(3 BHK Flat->1605 sqft), (3 BHK Flat->1628 sqft), (3 BHK Flat->1670 sqft), (3 BHK Flat->1688 sqft), (3 BHK Flat->1698 sqft), (3 BHK Flat->1725 sqft), (3 BHK Flat->1737 sqft), (3 BHK Flat->1775 sqft), (3 BHK Flat->1790 sqft), (3 BHK Flat->1880 sqft) ",,"lat=12.993047,longt=77.80596"
