project_name,project_by,location,status,project_desciption,possesion_date,area,unit_type,Super_builduparea,Builder_price,Apartment,total_unit,rera_id
Hiren High Cliff,Hiren Wahen,Marathahalli,Under Construction,,Possession date: Apr'19,2595 sq ft(4BHK+4T + Servant Room),4 BHK,"1,000 - 2,595 sq ft",₹ 64.99 L - ₹ 1.69 Cr,"2, 3, 4 BHK",152,RERA ID: PR/KN/170823/001436
DS Sparkle Nest,DS Max Properties,Narayanapura on Hennur Main Road,Under Construction,"Hennur region of Bengaluru is a developing area, offering premium apartments. DS Max Sparkle Nest Real Estate organisation is the company that is building up this extravagant project. The project is under construction. The required necessities like parks, petrol pumps, schools, ATMs, banks, hospitals, etc. are available in the neighbourhood. The amenities provided by this project are a pollution free environment along with the availability of a gym, a clubhouse, a swimming pool, sports facility, a playground for children, intercom facilities and much more. The price of the apartments is based on request. The apartments have enclosed individual facility of car parking.",Possession date: Dec'18,1751 sq ft(3BHK+3T),3 BHK,"928 - 1,751 sq ft",₹ 39.34 L,"2, 3 BHK",120,
Griha Unnathi,Griha,Narayanapura on Hennur Main Road,Under Construction,"Griha Unnathi Residency is providing apartments in the Narayanapura on Hennur Main Road region of Bengaluru. This project is still in under construction stage and is offering apartments of great quality and comfort. The daily necessities like a railway stations, petrol pumps, parks and a bus stations are all available nearby this project. The region is all completed and is ready for possession. The area is pollution free and the amenities of these projects are a gym, an intercom, and rain water harvesting system, a playground for the children, indoor games facility and a security staff. The price of the apartments is based on the request value.",Possession date: Dec'18,2203 sq ft(3BHK+3T + Servant Room),3 BHK,"1,046 - 2,203 sq ft",₹ 49.69 L - ₹ 1.05 Cr,"2, 3 BHK",72,RERA ID: PR/KN/170731/000273
Legacy Legacy Saviero,Legacy Global Project,Horamavu,Under Construction,,Possession date: Dec'19,1990 sq ft(3BHK+3T),3 BHK,"1,460 - 1,990 sq ft",₹ 80.30 L - ₹ 1.09 Cr,"2, 3 BHK",96,
DSR Waterscape,DSR Infrastructures,Horamavu,Under Construction,"DSR Infrastructures Pvt Ltd Waterscape is located in Horamavu, Bangalore. There are various amenities for home owners to utilize such as swimming pool, club house, children’s play zone, gymnasium, community hall and sports facilities. DSR Infrastructures Pvt. Ltd. was founded in 1988 and they have worked on twenty nine projects so far. Currently they have seven under construction properties in Bangalore, spread over Bellandur and Whitefield Hope Farm Junction. Horamavu is located close to Manyata Tech Park and Whitefield. It is surrounded by areas such as Kalyan Nagar, Hebbal and KR Puram. The Outer Ring Road is only 2 kilometres from here while the HAL Airport is 10 kilometres away.",Possession date: Dec'18,1752 sq ft(3BHK+3T),3 BHK,"1,179 - 1,752 sq ft",₹ 46.57 L - ₹ 69.20 L,"2, 3 BHK",231,RERA ID: PR/KN/170731/000808
Sriven Rag Metropole,Sriven Properties Bangalore,Anjanapura,Under Construction,,Possession date: Dec'18,1366 sq ft(3BHK+3T),3 BHK,"822 - 1,366 sq ft",₹ 28.77 L - ₹ 47.81 L,"2, 3 BHK",50,
DS Stonescape,DS Max Properties,Anjanapura,Under Construction,"Anjanapura area of Bengaluru has given land for the many real estate projects which are already in the process of development. The DS Max StonesCape is delivering spacious and premium apartments. The apartments are all set for moving in. All the necessary requirements like banks, ATMs, petrol pumps, hospitals; schools, grocery shop, bus stations, restaurants, train stations, etc. are all present in the neighbourhood of the project. The project offers other amenities like intercom facility, 24x7 security services, power backup, landscaped gardens, maintenance staff, a swimming pool, a gymnasium, rainwater harvesting system, power backup and more.",Possession date: Nov'19,1456 sq ft(3BHK+2T),3 BHK,"830 - 1,456 sq ft",₹ 23.24 L - ₹ 40.77 L,"2, 3 BHK",200,RERA ID: PR/KN/170830/001652
Legacy Vivienda,Legacy Global Project,Devanahalli,Under Construction,"Legacy Vivienda real estate association has amazed the market by building the best housing place project in Devanahalli region of Bengaluru. This organization is offering premium apartments of best quality. These apartments are all set for moving in purpose. The amenities offered by housing complex are a playground for the children, a nice green garden, 24 hours security, a car parking and much more. The location has the benefit of other services like hospitals, Banks, ATMs, petrol pumps, bus stations, schools, railway stations, restaurants, playschools etc. at a very short distance. The price of the apartments is depended on the request value.",Possession date: Apr'20,1760 sq ft(3BHK+3T),3 BHK,"660 - 1,760 sq ft",₹ 30.69 L - ₹ 81.84 L,"1, 2, 3 BHK",276,RERA ID: PR/KN/170731/000885
Indya SkyView,Indya Estates,Devanahalli,Under Construction,,Possession date: Dec'18,1275 sq ft(3BHK+3T),3 BHK,"650 - 1,275 sq ft",₹ 23.89 L - ₹ 46.86 L,"2, 3 BHK",780,RERA ID: PR/KN/170727/000071
UKN The Belvedere By UKN Airport District Phase 1,UKN Properties,Devanahalli,Under Construction,"There is an availability of magnificent plots in the Devanahalli region of Bangalore. These apartments are the project of UKN the Belvedere organization and they are all set for moving in. All the necessities like restaurant, play school, bus station, train station, hospital, bank, ATM, petrol pump all these are available in the neighbourhood. The other different amenities provided by the project is a well maintained system for car parking facility which is provided to each and every plot camera footage security services, playground, sewage water treatment plant, power back up system and more.",Possession date: Dec'20,1535 sq ft(3BHK+3T),3 BHK,"630 - 1,535 sq ft",₹ 28.35 L - ₹ 69.08 L,"1, 2, 3 BHK",877,RERA ID: PR/KN/170731/000527
Altius Ardour,Altius Realcon Development,Sarjapur,Under Construction,"Altius Realcon Development Ardour is a housing property in Sarjapur, Bangalore. It has 1, 2 and 3 BHK flats on sale that are in various stages of construction. The units are available through the developer. There are a total of 80 apartments being sold, which measure from 610 to 1400 sq ft. Spread over 1.09 acres, the community has facilities such as swimming pool, gymnasium, club house, children’s play zone, jogging track and community hall for home owners to enjoy. Sarjapur Road begins at the junction of HSR Layout and Koramangala and continues on to Sarjapur village. It is around 50 kilometers from the Bangalore International Airport while the closest railway station is in Carmelaram.",Possession date: Dec'18,1400 sq ft(3BHK+3T),3 BHK,"610 - 1,400 sq ft",₹ 26.35 L - ₹ 60.48 L,"1, 2, 3 BHK",94,RERA ID: PR/KN/170804/001048
Shri Ornate,Shri Diya,Sarjapur,Under Construction,"There is a huge availability of comfortable apartments in the Sarjapur region of Bangalore. The entire project is being developed by the Shri Diya Ornate Residency Real Estate builders. The project comprises of a range of well-designed and efficiently plannedapartments strategically located in the close vicinity of schools, hospitals, parks, restaurants, banks, petrol pump, ATM, bus station etc. This popular and upcoming residential locality of Bangalore is surrounded by several other famous growing real estate projects. Some of the modern day amenities offered by the project include a playground for the children, intercom services and much more. Prices and further details can be availed on request.",Possession date: Jun'19,1475 sq ft(3BHK+3T),3 BHK,"1,042 - 1,475 sq ft",₹ 28.66 L - ₹ 40.56 L,"2, 3 BHK",58,
Atco Sapphire,Atco Projects,Sarjapur,Under Construction,"Sarjapur in Bengaluru is a growing region which has many projects going on. The Atco Projects Sapphire Company is offering premium apartments in this region in a project which is still under construction. There are many facilities nearby this area like Banks, ATMs, restaurants, petrol pumps, shopping mall, higher education facilities, commercial complex, Hospitals, parks, schools, play schools, and much more. The area is also well accessible from all the parts of the city. Other amenities like intercom services, power back up system, and a childrenâ€™s a playground is also provided by the project. The price of the apartments is based on the request value.",Possession date: Dec'18,1673 sq ft(3BHK+3T),3 BHK,"1,092 - 1,673 sq ft",₹ 39.31 L - ₹ 60.23 L,"2, 3 BHK",150,
BCD Paradiso,BCD India Group,Devanahalli,Under Construction,"The BCD India Group Paradiso Group is offering great apartments in the Devanahalli region of Bangalore. These apartments are still in an under construction form and the project is going to be launched soon, which has all the necessary provisions like bank, atm, hospital, bus station, restaurant, school, petrol pump etc nearby. The other facilities of the project are a beautiful playground for the children, an intercom service, 24 hours security back up facility, gym, swimming pool, club house, a beautiful garden, a community hall and facility of indoor games and ample space for parking a car for each owner of the apartments.",Possession date: Dec'18,1750 sq ft(3BHK+3T + Study Room),3 BHK,"750 - 1,750 sq ft",₹ 28.13 L - ₹ 65.63 L,"1, 2, 3 BHK",264,RERA ID: PR/KN/170731/000142
Rohan Akriti,Rohan Builders and Developers,Subramanyapura,Under Construction,"Akriti project is registered in RERA with following RERA IDs 1. PR/KN/170731/000903 (ROHAN AKRITI BUILDING 1) and 2. PR/KN/180111/002510 (ROHAN AKRITI BUILDING 2). . Located in the Subramanyapura locality of Bangalore, Akriti is a housing project by Rohan Builders and Developers. The project is spread over an area of five acres and offers 1, 2 and 3 BHK apartments with their carpet area ranging from 544 sq ft to 1,532 sq ft. Some of its key highlights include Vitrified Tiles flooring in the master bedroom and ceramic tiles flooring in the toilets and balcony. The project is currently in an under construction stage with its possession scheduled in December 2019.Some of the key amenities offered by the project include a swimming pool, gymnasium, multipurpose room, power backup provision, landscaped gardens, indoor games facility and club house.Subramanyapura is a popular neighborhood in Bangalore and it is located near Bangalore-Mysore Expressway. The vicinity is easily accessible from Chikkalsandra, Padmanabha Nagar, JP Nagar Phase 1, 5, 6 and 7. New Millennium Public School, Lavtra Community College, Nagarathna Hospital, Metro Hospital, Bangalore ENT Surgical Clinic are some of the educational and healthcare facilities in the area. It also comprises of hotels, restaurants, shopping destinations and recreational centers.",Possession date: Dec'19,1532 sq ft(3BHK+3T),3 BHK,"544 - 1,532 sq ft",₹ 24.48 L - ₹ 68.94 L,"1, 2, 3 BHK",248,RERA ID: PR/KN/170731/000903
Neeladri Kota Hills,Neeladri,Subramanyapura,Under Construction,,Possession date: Dec'18,1685 sq ft(3BHK+3T),3 BHK,"1,045 - 1,685 sq ft",₹ 39.71 L - ₹ 64.03 L,"2, 3 BHK",47,RERA ID: PR/KN/171006/002173
Mantri Serenity,Mantri Group,Subramanyapura,Under Construction,"Mantra Group Serenity is registered with RERA with projects as follows- MANTRI SERENITY- 1 - PR/KN/170731/000494, MANTRI SERENITY- 3 - PR/KN/170731/000500, MANTRI SERENITY- 4 - PR/KN/170731/000502, MANTRI SERENITY- 5 - PR/KN/170731/000504. Mantra Group Serenity, located in Subramanyapura, Bangalore, offers apartments. The amenities include gymnasium, swimming pool, children's play area, club house, intercom, 24x7 security, rainwater harvesting, power backup, car parking, multipurpose room, sports facility, indoor games, library, Jacuzzi, mini theatre, and many others. The major real estate builders who have residential projects in this area are Mantri Group, Pride, Chartered, Gopalan, Oasis Constructions, Aarya Shelter, Jain Housing, Nanda Shelters, HSV Group, ISR Constructions etc. There are many schools and hospitals in this locality to boast of. The amenities that are offered by this project include power backup and landscaped gardens.",Possession started from: Nov'15,2525 sq ft(3BHK+3T),3 BHK,"1,000 - 2,525 sq ft",₹ 59.90 L - ₹ 1.51 Cr,"2, 3 BHK",2096,
Prestige Lake Ridge,Prestige Group,Subramanyapura,Under Construction,"Lake Ridge project is registered in RERA with following RERA IDs 1. PR/KN/170729/000334 Prestige Lake Ridge Phase 1 & PR/KN/170729/000336 Prestige Lake Ridge Phase 2. Prestige Lake Ridge, located in Subramanyapura, Bengaluru, offers apartments with the price being on request. It provides amenities like a gymnasium, a swimming pool, a childrens play area, a club house, a rainwater harvesting, an intercom, 24x7 security, a power backup, landscaped gardens, an indoor games provision, a maintenance staff, a car parking, a community hall, a recreation facilities and a library. Situated around 55 kilometers from Bengaluru, Subramanyapura. It is located at a strategic location in South Bengaluru on the National Highway 209. It has become an alluring destination for IT/ITES professionals due to its close proximity to the major IT hubs of Bengaluru. The area enjoys seamless connectivity.",Possession date: Dec'20,1750 sq ft(3BHK+3T + Servant Room),3 BHK,"661 - 1,750 sq ft",Price on request,"1, 2, 3 BHK",560,RERA ID: PR/KN/170729/000334
Satwi Thavil,Satwi,Varthur,Under Construction,"Located in Varthur, Bangalore, Thavil is a premium housing project launched by Satwi. The project offers Apartment in 2, 3 BHK configurations available from 991 sqft to 1768 sqft. These units in Bangalore East, are available at an attractive price points starting at @Rs 3,500 per sqft and will be available to buyers at a starting price of Rs 34.69 lacs. The project is Under Construction project and possession in Dec 18. Thavil has many amenities, such as Children's play area, Squash Court, Water Supply, Biomethanisation Disposal, Club House etc.",Possession date: Apr'19,1768 sq ft(3BHK+3T + Pooja Room),3 BHK,"991 - 1,768 sq ft",₹ 34.69 L - ₹ 61.88 L,"2, 3 BHK",100,RERA ID: PR/KN/170731/000874
ATZ Estrella,ATZ Properties,Varthur,Under Construction,"Key amenities offered to residents at this project include a gymnasium, 24 hour security services, swimming pool, jogging track, playing zone for kids, power backup facilities, club house, rainwater harvesting system, indoor game facilities, landscaped gardens and car parking facilities. Added amenities include a tennis court, private garden, hotels, vaastu compliant architectural layouts, a library and water storage provisions. Located at Varthur, the project is well linked to several areas like Harohalli, Gunjur, Kotur, Immadihalli and Whitefield.",Possession date: Dec'18,1825 sq ft(3BHK+2T),3 BHK,"1,090 - 1,825 sq ft",₹ 39.24 L - ₹ 65.70 L,"2, 3 BHK",118,
CMRS Mulberry Mist,CMRS,Varthur,Under Construction,"Mulberry Mist, designed around your life, making sure that you enjoy a stress-free living.Surrounded by well established residential areas, shopping malls, hospitals, educational institutions you are in close proximity to all that you need.With class amenities at Mulberry Mist you can feel safe, secure relaxed and happy.Mulberry Mist is the first step to getting the things The essence of Style you want out of life. At Mulberry Mist, you have a thousand reasons to smile for; you are right next to everything that you want.",Possession date: Dec'18,1600 sq ft(3BHK+3T),3 BHK,"986 - 1,600 sq ft",₹ 38.95 L - ₹ 57.08 L,"2, 3 BHK",296,RERA ID: PR/KN/170731/000597
Galaxy Constructions Bangalore The Trillium,Galaxy Constructions Bangalore,Varthur,Under Construction,,Possession date: Dec'18,1442 sq ft(3BHK+3T),3 BHK,"1,017 - 1,442 sq ft",₹ 36.61 L - ₹ 51.91 L,"2, 3 BHK",64,RERA ID: PR/KN/170830/001693
Saroj Harmony,Saroj,Varthur,Under Construction,,Possession date: Dec'18,1750 sq ft(3BHK+3T + Study Room),3 BHK,"1,260 - 1,750 sq ft",₹ 47.88 L - ₹ 66.50 L,"2, 3 BHK",95,RERA ID: PR/KN/170824/001506
Hilife Hilife Greens,Hilife Ventures Pvt Ltd,Varthur,Under Construction,,Possession date: Mar'20,1500 sq ft(3BHK+2T),3 BHK,"1,150 - 1,500 sq ft",₹ 46.00 L - ₹ 60.00 L,"2, 3 BHK",360,
Myhna Myhna Maple,Myhna Properties,Varthur,Under Construction,"Myhna Properties has launched its premium housing project, Myhna Maple, in Varthur, Bangalore. The project offers 2, 3 BHK Apartment from 1045 sqft to 1665 sqft in Bangalore East. Among the many luxurious amenities that the project hosts are Sewage Treatment Plant, Swimming Pool, Rain Water Harvesting, Lift Available, Intercom etc. Starting at @Rs 3,600 per sqft,Apartment are available for sale from Rs 37.62 lacs to Rs 59.94 lacs. Myhna Properties Myhna Maple is Under Construction project and possession in Dec 20.",Possession date: Dec'20,1665 sq ft(3BHK+3T),3 BHK,"1,045 - 1,665 sq ft",₹ 40.65 L - ₹ 64.77 L,"2, 3 BHK",532,RERA ID: PR/KN/170804/001080
Sobha Palm Springs,Sobha Limited,Varthur,Under Construction,,Possession date: Dec'19,1210 sq ft(2BHK+2T),2 BHK,"645 - 1,210 sq ft",₹ 31.72 L - ₹ 66.25 L,"1, 2 BHK",353,RERA ID: PR/KN/170828/001452
Elegant Whispering Winds,Elegant Builders,Talaghattapura,Under Construction,"Elegant Developers Whispering Winds Group has an availability of lavish apartments of great quality in the Talaghattapura region of Bengaluru. The apartments are all set for moving in purpose. Necessities like parks, banks, hospitals, bus stations, petrol pumps, ATMs, restaurants all is available in the neighbourhood. The other guarantees of the project are a contamination free setting along with covered parking space for each apartment, a gym, club house, and security for 24 hours, a power back up system and much more. The price of the apartments is based on the request value. The size of the apartment is also based on the request value.",Possession date: Dec'18,1839 sq ft(3BHK+3T),3 BHK,"1,419 - 1,839 sq ft",₹ 63.85 L - ₹ 82.75 L,"2, 3 BHK",192,RERA ID: PR/KN/170826/001523
Nitesh Caesars Palace,Nitesh Estates,Talaghattapura,Under Construction,"Caesars Palace Bangalore is a residential project developed by Nitesh group. It is located at Talaghattapura in Bangalore.equipped with all modern facilities. With 8 years of experience, Nitesh has become one of the prominent real estate developers based in Bangalore. This company is involved in crafting high end luxurious homes. Mr Nitesh Shetty is the founder and Managing Director of this company. Talaghattapura, one of the well-known areas located at suburb Kanakapura Road in Bangalore. Bangalore City Junction railway station is located at a distance of approximately 21 kilometers form this area. HAL airport is about 22 kilometers away from this area. Bus services are also accessible in this area. This area has many well-known schools, banks, hospitals, restaurants and parks.",Possession date: Dec'18,2866 sq ft(4BHK+4T + Servant Room),4 BHK,"1,189 - 2,866 sq ft",₹ 70.56 L - ₹ 93.93 L,"2, 3, 4 BHK",348,
SV Maple,SV INFRA,Talaghattapura,Under Construction,"Launched by SV INFRA, Maple, is a premium housing project located at Talaghattapura in Bangalore. Offering 2, 3 BHK Apartment in Kanakapura Road are available from 1150 sqft to 1500 sqft. This project hosts amenities like Vaastu Compliant, Drop Off & Pick Up Point, Internet Facility , 24 Hours Water Supply From Borewell, Badminton Courts etc. Available at attractive price points starting at @Rs 5,500 per sqft, the Apartment are available for sale from Rs 63.25 lacs to Rs 82.50 lacs. The project is Under Construction project and possession in Mar 19.",Possession date: Mar'19,1500 sq ft(3BHK+3T),3 BHK,"1,150 - 1,500 sq ft",₹ 63.25 L - ₹ 82.50 L,"2, 3 BHK",62,
Total Environment The Magic Faraway Tree,Total Environment,Talaghattapura,Under Construction,"Total Environment The Magic Faraway Tree in Talaghattapura, Bangalore offers residential apartments. The apartments are under construction and the apartments are available only through the builder. Price of the apartments is available on request. Several amenities are present for the community, including a gymnasium, swimming pool, childrens play area, club house, rainwater harvesting, intercom system, indoor games, maintenance staff, community hall, landscaped gardens, power back up and round the clock security amongst others. It is a fast developing part of the city with good connectivity. There are several stores, eateries and shopping avenues located within close proximity to the main road.",Possession started from: Mar'17,7309 sq ft(4BHK+4T),4 BHK,"2,514 - 7,309 sq ft",₹ 1.89 Cr - ₹ 5.48 Cr,"3, 4 BHK",240,
Sobha The Park And The Plaza,Sobha Limited,Talaghattapura,Under Construction,"Sobha Group is back with yet another grand residential project, The Park and The Plaza. Sprawling across 10.76 acres of land,  ft. The Park and The Plaza is equipped with all basic amenities such as car parking, gymnasium, swimming pool, children's play area, club house, intercom facility, multipurpose room, power backup, indoor games, 24x7 security and landscaped gardens. The project is situated in Talaghattapura, Bangalore. Talaghattapura enjoys smooth connectivity to major areas of Bangalore. The presence of several good schools, colleges, hospitals, shopping malls and recreational venues makes this region a popular choice among home buyers.",Possession date: Oct'19,1706 sq ft(3BHK+3T),3 BHK,"1,290 - 1,706 sq ft",₹ 81.27 L - ₹ 1.07 Cr,"2, 3 BHK",298,
Value Azure,Value Designbuild,Varthur,Under Construction,"Azure is brought to you by Value Designbuild Pvt. Ltd. Azure is located in the soon-to-be-buzzing Gunjur – a location neighbouring the vibrant IT hubs of Whitefield and Outer Ring Road. Azure comprises of 2, 3 & 4BHK apartment tower and is thoughtfully designed to cater to the life of today’s professional and their family. The apartments are laid out with attention to detail, aesthetics, convenience and modern comforts. Outside, the pool, a rooftop clubhouse and other leisure amenities provide a well-rounded life.",Possession date: Dec'18,2712 sq ft(4BHK+4T),4 BHK,"1,249 - 2,712 sq ft",₹ 59.02 L - ₹ 1.28 Cr,"2, 3, 4 BHK",108,
Oceanus Vista Phase 2,Oceanus Group,Kasavanahalli Off Sarjapur Road,Under Construction,"Vista Phase 2 is a premium housing project launched by Oceanus in Kasavanahalli Off Sarjapur Road, Bangalore. These 2, 3 BHK Apartment in Sarjapur Road Before Wipro are available from 1086 sqft to 1732 sqft. Among the many luxurious amenities that the project hosts are Sump Tank, Badminton Court, Split AC, Power Backup, Landscaped Gardens etc. Starting at @Rs 4,690 per sqft, Apartment are available at attractive price points. The Apartment will be available for sale from Rs 51.92 lacs to Rs 80.57 lacs.",Possession date: Jun'19,1732 sq ft(3BHK+3T),3 BHK,"1,086 - 1,732 sq ft",₹ 51.92 L - ₹ 80.57 L,"2, 3 BHK",150,RERA ID: PR/KN/170817/001322
Suvastu Kings Square,Suvastu Group,Kasavanahalli Off Sarjapur Road,Under Construction,,Possession date: Sep'18,1515 sq ft(3BHK+2T),3 BHK,"1,180 - 1,515 sq ft",₹ 49.56 L - ₹ 63.63 L,"2, 3 BHK",80,
Keerthi Krishna Viva,Keerthi Estates,Kasavanahalli Off Sarjapur Road,Under Construction,"Kasavanahalli Off Sarjapur Road region of Bengaluru is one of the popular areas because of its real estate projects. One of them is the Keerthi Estates Krishna Viva Residency project which is delivering apartments of premium value and quality. The region where this project is available is well acquainted by restaurants, bus stations, ATMs, banks, train stations, parks, schools, petrol pumps, hospitals, etc. The apartments are well engrossed with different quality materials and granite set kitchens. The different amenities offered by this project are a playground for children, 24x7 security services, roof top party area, spacious lobby, excellent fire and safety system, a power backup system and much more. The project is all set for moving in.",Possession date: Jun'19,1780 sq ft(3BHK+3T),3 BHK,"870 - 1,780 sq ft",₹ 46.98 L - ₹ 96.12 L,"2, 3 BHK",132,RERA ID: PR/KN/170830/001600
Inner Meadow In The Sun,Inner,Kasavanahalli Off Sarjapur Road,Under Construction,"Inner Spaces Meadow In The Sun is a residential community located at Kasavanahalli Off Sarjapur Road, Bangalore.The project is set in a very convenient neighbourhood containing schools, hospitals, play schools, banks, ATMs, bus stations, metro stations, office complex, parks, restaurants and petrol pumps. The project comes with a gymnasium, swimming pool, play area for kids, clubhouse and indoor games facilities. Inner Spaces is an esteemed real estate developing company which aims at delivering projects keeping customer satisfactory needs in mind. It has helmed a total of four projects till date.",Possession date: Dec'18,5000 sq ft(4BHK+4T),4 BHK,"2,455 - 5,000 sq ft",₹ 1.35 Cr - ₹ 2.75 Cr,"3, 4 BHK",144,RERA ID: PR/KN/170801/000544
Sterling Infinia,Sterling,Koramangala,Under Construction,,Possession date: Dec'19,3233 sq ft(4BHK+5T + Servant Room),4 BHK,"1,730 - 3,233 sq ft",₹ 1.44 Cr - ₹ 2.62 Cr,"3, 4 BHK",78,RERA ID: PR/KN/170729/000310
MV Value Plus,MV Varja,Konanakunte,Under Construction,"Located in Konanakunte, Bangalore, Value Plus is a premium housing project launched by MV Varja. The project offers Apartment in 2, 3 BHK configurations available from 1055 sqft to 1630 sqft. These units in Kanakapura Road, are available at an attractive price points starting at @Rs 4,500 per sqft and will be available to buyers at a starting price of Rs 47.48 lacs. The project is Under Construction project and possession in Dec 18. Value Plus has many amenities, such as Day Care For Kids, Shopping Mall, Intercom, Children's play area, Library etc.",Possession date: Dec'18,1630 sq ft(3BHK+3T),3 BHK,"1,055 - 1,630 sq ft",₹ 44.84 L - ₹ 69.28 L,"2, 3 BHK",157,RERA ID: PR/KN/170831/001773
Prestige Pinewood,Prestige Group,Koramangala,Under Construction,"Live in posh Koramangala at Bangalore in Prestige Pinewood. The development of the housing complex is set to commence soon and it has 2, 3 and 4 BHK configurations on offer. Spreading over an expanse of 2.56 acres, the community has amenities such as community hall, club house, kids’ play area, swimming pool, gymnasium and rainwater harvesting on offer for the benefit of home owners.The Prestige Group forayed into real estate in 1986 and has since then worked on 105 projects. Forty nine of their properties are currently undergoing construction. Some of their properties are located in Horamavu and Rajarajeshwari Nagar. Koramangala is towards the southeast of Bangalore and is linked to Indiranagar and Domlur, Madivala and Sarjapur. The main roads passing through the area are the Sarjapur Road, Intermediate Ring Road and the Sarjapur Road. Companies such as Toshiba Software and Texas Instruments are located here. BMTC buses ply through the area.",Possession date: Jun'20,2503 sq ft(4BHK+5T + Servant Room),4 BHK,"1,249 - 2,503 sq ft",Price on request,"2, 3, 4 BHK",256,RERA ID: PR/KN/170728/000109
Canopy Crest Signature,Canopy Estate,Kogilu,Under Construction,"Canopy Crest Signature is the latest housing development in Kogilu, Bangalore. Key developments in the close proximity include renowned schools, proposed connectivity with the new Bangalore Metro, Airport flyover and the Peripheral Ring Road, hospitals etc. Canopy Crest is launched by the well known real estate company, Canopy Estate is known for delivering construction projects of international standards. The venture comprises of 2 and 3 bedroom sets with each having a size range between 1,155 and 1,600 sq. ft. There are total 164 units sprawled across an area of 2.7 acres of land. Many schools, parks, and other facilities are available in the vicinity offering convenience to the people to reach these places in a short time, making it an ideal place to live in.",Possession date: Dec'18,1600 sq ft(3BHK+3T),3 BHK,"1,155 - 1,600 sq ft",₹ 69.30 L - ₹ 96.00 L,"2, 3 BHK",268,
Mahaveer Cygnet,Mahaveer Group,Kogilu,Under Construction,"A premium housing project launched by Mahaveer, Cygnet in Kogilu, Bangalore is offering Apartment starting at Rs 20.62 lacs. It offers 1, 2, 3 BHK Apartment in Bangalore North. The project is Pre Launch project and possession in Oct 19. Among the many luxurious amenities that the project boasts are Indoor Games, Landscaped Gardens, Intercom, Children's play area, Multipurpose Room etc. The Apartment are available from 589 sqft to 1616 sqft at an attractive price points starting at @Rs 3,500 per sqft.",Possession date: Oct'19,1616 sq ft(3BHK+3T),3 BHK,"589 - 1,616 sq ft",₹ 21.79 L - ₹ 58.27 L,"1, 2, 3 BHK",65,RERA ID: PR/KN/170729/000393
Mittal Elanza,Mittal,Kogilu,Under Construction,"Mittal Elanza is a noteworthy property in Jakkur, Bangalore. Built by Mittal Universal Construction Company, The apartments are equipped with a number of modern amenities such as health club, yoga and aerobic room, meditation deck, chess garden, mini theatre, party area, pets corner, community hall, gymnasium, library, club house, pebble bed, swimming pool, sculptures court, intercom, lawn terrace, indoor games, jogging track and high-tech CCTV surveillance. The property is bordered by hospitals, restaurants, schools, petrol pumps, parks and bus station. Elanza creates an ideal urban experience in harmony with nature while enhancing the way you live.",Possession date: Dec'19,1915 sq ft(3BHK+3T   Servant Room),3 BHK,"1,195 - 1,915 sq ft",₹ 69.31 L - ₹ 1.11 Cr,"2, 3 BHK",316,RERA ID: PR/KN/170731/000683
Sobha Palm Court,Sobha Limited,Kogilu,Under Construction,"Sobha Palm Court Bangalore comes with well designed apartments for buyers and offers several amenities to residents including a club house, swimming pool, power backup facilities, 24 hour security services and car parking facilities. Located at Kogilu, the project lies around 14 kilometres away from Bangalore city and the area is home to several companies like Astra Zeneca Pharmaceuticals, ABB, Elecon Measurements and Hobel Flexibles. The Yelahanka railway station is also easily accessible from the project along with the upcoming Bangalore metro railway network. The National Highway 7 is accessible from the project while the KSRTC and BMTC bus transport networks link it to several areas in Bangalore.",Possession date: Dec'20,1950 sq ft(3BHK+3T + Servant Room),3 BHK,"1,400 - 1,950 sq ft",₹ 94.23 L - ₹ 1.24 Cr,"2, 3 BHK",294,RERA ID: PR/KN/170729/000164
Parth Gardenia,Parth Group,Kodigehalli,Under Construction,,Possession date: May'19,1975 sq ft(3BHK+3T),3 BHK,"1,000 - 1,975 sq ft",₹ 55.00 L - ₹ 1.09 Cr,"2, 3 BHK",78,
Fortuna Wind Flower,Fortuna,Kodigehalli,Under Construction,"Fortuna Wind Flower, a bunch of luxurious apartments is spread across 5 acres and is located at Sahakarnagar, near Hebbal on International Airport in North Bangalore. This area also enjoys good connectivity to Railway Station which is about 8 kilometers away and Airport, which is about 12 kilometers away. A modern club house hosts Billiards, Table Tennis, Yoga, Aerobics, kids play zones and the complex is full of other amenities like swimming pool, childrens play area, intercom and round the clock security. There are several schools, restaurants, shopping centers, hospitals and banks inÂ Undri. Bus and train stations are available for communication.",Possession date: Dec'18,3340 sq ft(4BHK+4T),4 BHK,"1,263 - 3,340 sq ft",₹ 70.73 L - ₹ 1.87 Cr,"2, 3, 4 BHK",137,
Assetz Marq,Assetz Property Group,Kannamangala,Under Construction,,Possession date: Dec'18,2267 sq ft(3BHK+4T + Study Room),3 BHK,"1,222 - 2,267 sq ft",₹ 59.86 L - ₹ 1.09 Cr,"2, 3 BHK",469,RERA ID: PR/KN/170801/000973
